giornata,team,modulo,portiere,difensori,centrocampisti,attaccanti,panchina,capitano,vice_capitano
24,EquipoA,4-3-3,Meret,Zappacosta;Rrahmani;Ramon;Palestra,Orsolini;Paz N.;Pulisic,Malen;Martinez L.;Yildiz,Milinkovic-Savic V.;Berardi;Ndour;Ilkhan;Maldini;Bellanova;Zemura,Pulisic,Orsolini
24,SPARROW,4-3-3,Maignan,Dodò;Palestra;Wesley;Dimarco,McTominay;Paz N.;McKennie,Malen;Martinez L.;David,Terracciano;Valeri;Bellanova;Gudmundsson A.;Maldini;Esposito F.P.;Martin,Martinez L.,Dimarco
