ID,Giocatore,Posizione,Squadra,Mediavoto
168,Gilmour,C,Napoli,6.0
169,Gineitis,C,Torino,5.73
170,Gorter,C,Lecce,5.5
171,Grassi,C,Cremonese,5.75
172,Gronbaek,C,Genoa,5.5
173,Gudmundsson A.,C,Fiorentina,5.98
174,Guendouzi,C,Lazio,6.16
175,Harrison,C,Fiorentina,6.0
176,Harroui,C,Verona,5.78
177,Helgason,C,Lecce,5.5
178,Hernani,C,Parma,5.67
179,Hojholt,C,Pisa,5.67
180,Iannoni,C,Sassuolo,6.0
181,Ilic,C,Torino,6.0
182,Iling Junior,C,Pisa,6.5
183,Ilkhan,C,Torino,5.78
184,Isaksen,C,Lazio,6.09
185,Jashari,C,Milan,5.9
186,Kaba,C,Lecce,5.77
187,Karlstrom,C,Udinese,5.94
188,Kastanos,C,Verona,6.0
189,Keita M.,C,Parma,5.98
190,Konè I.,C,Sassuolo,6.16
191,Konè M.,C,Roma,6.34
192,Koopmeiners,C,Juventus,5.68
193,Kostic,C,Juventus,6.2
194,Leris,C,Pisa,6.0
195,Lipani,C,Sassuolo,5.82
196,Liteta,C,Cagliari,5.75
197,Lobotka,C,Napoli,6.1
198,Locatelli,C,Juventus,6.35
199,Loftus-Cheek,C,Milan,6.18
200,Lorran,C,Pisa,5.88
201,Lovric,C,Verona,5.7
202,Loyola,C,Pisa,6.17
203,Luis Henrique,C,Inter,5.92
204,Maldini,C,Lazio,5.89
205,Maleh,C,Cremonese,5.77
206,Malinovskyi,C,Genoa,6.13
207,Mandragora,C,Fiorentina,6.08
208,Marin M.,C,Pisa,5.85
209,Masini,C,Genoa,5.94
210,Matic,C,Sassuolo,6.02
211,Mazzitelli,C,Cagliari,6.25
212,McKennie,C,Juventus,6.25
213,McTominay,C,Napoli,6.41
214,Messias,C,Genoa,6.11
215,Miller L.,C,Udinese,5.85
216,Miretti,C,Juventus,6.15
217,Mkhitaryan,C,Inter,6.14
218,Modric,C,Milan,6.52
219,Moro N.,C,Bologna,5.91
220,Musah,C,Atalanta,5.95
221,Ndour,C,Fiorentina,5.74
222,Neres,C,Napoli,6.19
223,Niasse,C,Verona,5.77
224,Nicolussi Caviglia,C,Parma,5.77
225,Odgaard,C,Bologna,5.91
226,Onana J.,C,Genoa,5.5
227,Ondrejka,C,Parma,5.67
228,Ordonez C.,C,Parma,5.75
229,Oristanio,C,Parma,5.68
230,Orsolini,C,Bologna,6.11
231,Pasalic,C,Atalanta,5.97
232,Payero,C,Cremonese,6.0
233,Paz N.,C,Como,6.38
234,Pellegrini Lo.,C,Roma,6.06
235,Perrone,C,Como,6.23
236,Piccinini G.,C,Pisa,5.92
237,Pierotti,C,Lecce,5.76
238,Pierret,C,Lecce,6.0
239,Piotrowski,C,Udinese,5.9
240,Pisilli,C,Roma,6.06
241,Pobega,C,Bologna,5.76
242,Politano,C,Napoli,6.0
243,Prati,C,Torino,5.88
244,Pulisic,C,Milan,6.53
245,Rabiot,C,Milan,6.5
246,Ramadani,C,Lecce,5.85
247,Ricci S.,C,Milan,6.14
248,Richardson,C,Fiorentina,5.5
249,Rovella,C,Lazio,5.86
250,Rowe,C,Bologna,6.16
251,Sabiri,C,Fiorentina,5.5
252,Saelemaekers,C,Milan,6.27
253,Sala A.,C,Lecce,5.75
254,Samardzic,C,Atalanta,6.0
255,Santos A.,C,Napoli,7.5
256,Sarmiento J.,C,Cremonese,5.9
257,Serdar,C,Verona,5.97
258,Sergi Roberto,C,Como,5.93
259,Sohm,C,Bologna,5.6
260,Sorensen O.,C,Parma,5.82
261,Sottil,C,Lecce,6.03
262,Stanciu,C,Genoa,5.5
263,Strefezza,C,Parma,6.25
264,Sucic P.,C,Inter,6.14
265,Sulemana I.,C,Cagliari,5.9
266,Tameze,C,Torino,5.65
267,Taylor K.,C,Lazio,5.92
268,Tete Morente,C,Lecce,5.57
269,Thorsby,C,Cremonese,6.25
270,Thorstvedt,C,Sassuolo,6.05
271,Thuram K.,C,Juventus,6.14
272,Tourè I.,C,Pisa,5.91
273,Tramoni M.,C,Pisa,5.72
274,Vandeputte,C,Cremonese,6.12
275,Vazquez,C,Cremonese,6.15
276,Vecino,C,Lazio,5.92
277,Venturino,C,Roma,5.67
278,Vergara,C,Napoli,6.3
279,Vlasic,C,Torino,6.0
280,Volpato,C,Sassuolo,6.25
281,Vranckx,C,Sassuolo,5.62
282,Vural,C,Pisa,5.81
283,Zaccagni,C,Lazio,6.0
284,Zalewski,C,Atalanta,6.21
285,Zambo Anguissa,C,Napoli,6.5
286,Zaniolo,C,Udinese,6.25
287,Zaragoza,C,Roma,6.0
288,Zarraga,C,Udinese,5.7
289,Zerbin,C,Cremonese,5.81
290,Zhegrova,C,Juventus,6.0
291,Zielinski,C,Inter,6.47
292,Acerbi,D,Inter,6.05
293,Ahanor,D,Atalanta,5.73
294,Akanji,D,Inter,6.25
295,Albiol,D,Pisa,5.83
296,Angelino,D,Roma,5.8
297,Angori,D,Pisa,5.98
298,Athekame,D,Milan,6.0
299,Barbieri,D,Cremonese,6.08
300,Bartesaghi,D,Milan,6.11
301,Baschirotto,D,Cremonese,5.96
302,Bastoni,D,Inter,6.27
303,Belghali,D,Verona,6.25
304,Bella-Kotchap,D,Verona,5.89
305,Bellanova,D,Atalanta,5.93
306,Bernasconi,D,Atalanta,6.18
307,Bertola,D,Udinese,5.82
308,Beukema,D,Napoli,5.92
309,Bianchetti,D,Cremonese,5.79
310,Biraghi,D,Torino,5.56
311,Bisseck,D,Inter,6.25
312,Bonfanti,D,Pisa,5.61
313,Bozhinov,D,Pisa,5.33
314,Bradaric,D,Verona,5.75
315,Bremer,D,Juventus,6.43
316,Britschgi,D,Parma,5.82
317,Buongiorno,D,Napoli,5.92
318,Cabal,D,Juventus,5.94
319,Calabresi,D,Pisa,5.84
320,Cambiaso,D,Juventus,5.8
321,Candè,D,Sassuolo,5.69
322,Canestrelli,D,Pisa,5.74
323,Caracciolo A.,D,Pisa,5.93
324,Carlos Augusto,D,Inter,6.21
325,Casale,D,Bologna,5.56
326,Ceccherini,D,Cremonese,5.5
327,Celik,D,Roma,6.22
328,Cham,D,Verona,5.17
329,Circati,D,Parma,6.0
330,Coco,D,Torino,5.91
331,Comuzzo,D,Fiorentina,5.72
332,Coppola F.,D,Pisa,5.0
333,Coulibaly W.,D,Sassuolo,5.44
334,Cuadrado,D,Pisa,6.11
335,Darmian,D,Inter,6.0
