#	Giocatore	Pos	Squadra	Presenze	Titolare	Minuti	Goal	Goal Rig	Ass	Gialli	Rossi	Clean Sheet
164	L. Banda	Att	LEC	6	4	307	1	0	2	1	1	1
165	D. Ghilardi	Dif	ROM	5	3	353	0	0	0	0	0	3
166	T. Pobega	Cen	BOL	6	5	447	0	0	1	0	0	0
167	A. Fadera	Att	SAS	8	5	428	1	0	0	2	0	0
168	H. Calhanoglu	Cen	INT	4	4	314	1	1	1	2	0	2
169	N. Zaniolo	Cen	UDI	6	6	436	1	0	2	3	0	1
170	M. Politano	Att	NAP	7	5	499	0	0	2	0	0	3
171	Danilo Veiga	Dif	LEC	7	6	598	0	0	0	3	0	2
172	C. Niasse	Cen	VER	6	5	408	0	0	1	1	0	0
173	T. Koopmeiners	Cen	JUV	7	4	385	0	0	0	1	0	3
174	M. Prati	Cen	CAG	6	4	333	1	0	0	0	0	0
175	J. Ziolkowski	Dif	ROM	5	4	317	0	0	0	0	0	1
176	N. Zortea	Dif	BOL	8	5	508	0	0	1	1	0	0
177	L. Ferguson	Cen	BOL	7	4	379	1	0	0	2	0	0
178	R. Gosens	Dif	FIO	6	4	338	1	0	0	1	0	0
179	F. Bonazzoli	Att	CRE	8	7	553	0	0	0	3	0	2
180	J. Doig	Dif	SAS	8	6	576	0	0	0	0	0	1
181	A. Grassi	Cen	CRE	7	5	447	0	0	0	1	0	2
182	N. Cambiaghi	Att	BOL	5	5	389	1	0	0	0	1	0
183	M. Cancellieri	Att	LAZ	8	8	626	0	0	0	4	0	4
184	M. Ellertsson	Cen	GEN	8	6	571	0	0	0	0	0	2
185	J. Vardy	Att	CRE	8	8	673	1	0	1	1	0	2
186	A. Buongiorno	Dif	NAP	7	4	396	0	0	0	0	0	1
187	E. Ilkhan	Cen	TOR	7	4	319	0	0	0	1	0	1
188	S. Canestrelli	Dif	PIS	8	8	720	0	0	0	1	0	0
189	M. Vecino	Cen	LAZ	6	4	369	0	0	1	1	0	3
190	M. Okoye	Por	UDI	6	6	457	0	0	0	0	1	1
191	T. Heggem	Dif	BOL	7	7	609	0	0	0	0	1	0
192	C. Adams	Att	TOR	8	6	576	0	0	1	0	0	3
193	R. Orsolini	Att	BOL	6	5	362	1	0	0	1	0	0
194	K. Thorstvedt	Cen	SAS	5	4	340	1	0	0	1	0	0
195	D. Rensch	Dif	ROM	6	4	323	0	0	1	0	0	2
196	Alberto Moreno	Dif	COM	5	4	346	0	0	0	0	0	2
197	Francisco Conceicao	Att	JUV	5	4	264	1	0	0	1	0	2
198	A. Gallo	Dif	LEC	8	6	575	0	0	0	0	0	1
199	A. Tameze	Cen	TOR	7	5	429	0	0	0	1	0	1
200	G. Simeone	Att	TOR	6	3	322	1	0	0	0	0	1
201	A. Sarr	Att	VER	8	4	394	0	0	1	0	0	1
202	J. Ondrejka	Cen	PAR	8	6	430	0	0	0	1	0	1
203	S. Otoa	Dif	GEN	6	5	450	0	0	0	0	0	0
204	B. Norton-Cuffy	Dif	GEN	7	7	570	0	0	0	0	0	0
205	A. Atta	Cen	UDI	4	2	228	1	0	1	0	0	0
206	N. Lang	Att	NAP	7	3	283	0	0	2	0	0	0
207	G. Zappa	Dif	CAG	7	4	388	0	0	1	0	0	0
208	N. Bertola	Dif	UDI	8	6	531	0	0	0	0	0	1
209	R. Loftus-Cheek	Cen	MIL	8	4	396	0	0	1	1	0	2
210	M. Zaccagni	Att	LAZ	6	6	489	0	0	0	3	1	1
211	N. Estevez	Cen	PAR	8	4	399	0	0	0	1	0	2
212	H. Kamara	Dif	UDI	6	4	368	0	0	0	1	0	0
213	A. Bella-Kotchap	Dif	VER	5	5	436	0	0	0	2	0	0
214	S. Pavlovic	Dif	MIL	4	4	344	0	0	0	1	0	1
215	T. Barbieri	Dif	CRE	7	6	465	0	0	0	4	0	2
216	W. Bondo	Cen	CRE	7	6	403	0	0	0	2	0	2
217	Giovane	Att	NAP	8	5	412	0	0	0	0	0	1
218	Juan Miranda	Dif	BOL	6	6	540	0	0	0	2	0	0
219	S. Ricci	Cen	MIL	7	3	314	0	0	0	0	0	1
220	G. Gineitis	Cen	TOR	6	6	412	0	0	0	0	0	2
221	M. Frese	Dif	VER	4	4	345	1	0	0	1	0	0
222	N. Kuhn	Att	COM	8	1	200	1	0	0	0	0	1
223	A. Zerbin	Cen	CRE	8	2	339	0	0	0	0	0	0
224	Diego Carlos	Dif	COM	4	3	304	0	0	0	1	0	2
225	H. Meister	Att	PIS	6	6	467	1	0	0	0	0	0
226	Y. Maleh	Cen	LEC	6	5	418	0	0	0	2	0	0
227	G. Pezzella	Dif	CRE	7	7	573	0	0	0	3	0	1
228	L. Lipani	Cen	SAS	6	4	319	0	0	0	0	0	0
229	M. Bianchetti	Dif	CRE	5	5	433	0	0	0	0	0	1
230	J. Odgaard	Att	BOL	5	4	282	1	0	0	0	0	0
231	G. Oristanio	Att	PAR	7	5	436	0	0	0	0	0	1
232	A. Semper	Por	PIS	5	5	450	0	0	0	0	0	0
233	T. Noslin	Att	LAZ	6	3	293	1	0	0	0	1	0
234	Y. Musah	Cen	ATA	7	2	290	0	0	0	1	0	1
235	A. Pinamonti	Att	SAS	7	6	543	0	0	2	0	0	0
236	S. Angori	Dif	PIS	8	7	615	0	0	0	1	0	0
237	L. Miller	Cen	UDI	6	3	326	0	0	0	0	0	0
238	L. Pellegrini	Cen	ROM	4	3	199	1	1	0	0	0	1
239	G. Borrelli	Att	CAG	8	2	279	0	0	1	1	0	0
240	N. Moro	Cen	BOL	6	3	295	0	0	0	0	0	0
241	S. Britschgi	Dif	PAR	8	5	512	0	0	0	1	0	2
242	L. Coulibaly	Cen	LEC	5	4	372	0	0	0	0	0	2
243	M. Kaba	Cen	LEC	6	4	445	0	0	0	1	0	1
244	E. Ndicka	Dif	ROM	3	3	270	0	0	0	0	0	2
245	I. Smolcic	Dif	COM	6	4	251	0	0	0	2	0	1
246	J. Vandeputte	Cen	CRE	7	4	380	0	0	0	1	0	1
247	N. Pisilli	Cen	ROM	6	2	248	0	0	1	0	0	2
248	G. Isaksen	Att	LAZ	6	2	215	0	0	0	0	0	1
249	J. Rodriguez	Dif	CAG	5	5	381	0	0	0	2	0	0
250	I. Van der Brempt	Dif	COM	5	3	298	0	0	0	1	0	1
251	A. Deiola	Cen	CAG	3	3	270	0	0	1	0	0	0
252	M. Pasalic	Cen	ATA	5	2	153	1	0	0	1	0	0
253	M. Lazzari	Dif	LAZ	7	2	252	0	0	0	0	0	1
