ID,Giocatore,Posizione,Squadra,Gol fatti
186,Bastoni,D,Inter,1
187,Belghali,D,Verona,2
188,Beukema,D,Napoli,1
189,Bisseck,D,Inter,2
190,Bremer,D,Juventus,3
191,Cabal,D,Juventus,2
192,Cambiaso,D,Juventus,2
193,Carlos Augusto,D,Inter,1
194,Celik,D,Roma,1
195,Circati,D,Parma,1
196,Coco,D,Torino,1
197,Comuzzo,D,Fiorentina,1
198,Cuadrado,D,Pisa,1
199,De Winter,D,Milan,1
200,Delprato,D,Parma,1
201,Di Lorenzo,D,Napoli,1
202,Dimarco,D,Inter,5
203,Dumfries,D,Inter,1
204,Folino,D,Cremonese,1
205,Frese,D,Verona,1
206,Gatti,D,Juventus,1
207,Gosens,D,Fiorentina,2
208,Gutierrez,D,Napoli,1
209,Hermoso,D,Roma,1
210,Hien,D,Atalanta,1
211,Holm,D,Juventus,1
212,Idrissi R.,D,Cagliari,2
213,Kabasele,D,Udinese,2
214,Kalulu,D,Juventus,2
215,Kelly L.,D,Juventus,1
216,Kempf,D,Como,3
217,Kossounou,D,Atalanta,1
218,Kristensen T.,D,Udinese,1
219,Lucumì,D,Bologna,1
220,Luperto,D,Cremonese,1
221,Maripan,D,Torino,2
222,Martin,D,Genoa,1
223,Mina,D,Cagliari,1
224,Miranda J.,D,Bologna,1
225,Moreno Alb.,D,Como,1
226,Muharemovic,D,Sassuolo,2
227,Norton-Cuffy,D,Genoa,1
228,Ostigard,D,Genoa,4
229,Palestra,D,Cagliari,1
230,Pavlovic,D,Milan,2
231,Posch,D,Como,1
232,Ramon,D,Como,2
233,Ranieri L.,D,Fiorentina,1
234,Rrahmani,D,Napoli,1
235,Scalvini,D,Atalanta,2
236,Solet,D,Udinese,3
237,Spinazzola,D,Napoli,3
238,Terracciano F.,D,Cremonese,2
239,Tiago Gabriel,D,Lecce,1
240,Vojvoda,D,Como,1
241,Wesley,D,Roma,3
242,Zanoli,D,Udinese,1
243,Zappacosta,D,Atalanta,1
