ID,Giocatore,Posizione,Squadra,Rigori parati
1,Audero,P,Cremonese,1
2,Butez,P,Como,1
3,Carnesecchi,P,Atalanta,2
4,De Gea,P,Fiorentina,1
5,Falcone,P,Lecce,2
6,Maignan,P,Milan,2
7,Milinkovic-Savic V.,P,Napoli,2
8,Montipò,P,Verona,1
9,Okoye,P,Udinese,1
10,Provedel,P,Lazio,1
11,Suzuki,P,Parma,1
