ID,Giocatore,Posizione,Squadra,Fantamedia
168,Gilmour,C,Napoli,6.42
169,Gineitis,C,Torino,5.73
170,Gorter,C,Lecce,5.5
171,Grassi,C,Cremonese,5.69
172,Gronbaek,C,Genoa,5.25
173,Gudmundsson A.,C,Fiorentina,6.59
174,Guendouzi,C,Lazio,6.31
175,Harrison,C,Fiorentina,6.33
176,Harroui,C,Verona,6.11
177,Helgason,C,Lecce,5.5
178,Hernani,C,Parma,5.67
179,Hojholt,C,Pisa,5.58
180,Iannoni,C,Sassuolo,6.62
181,Ilic,C,Torino,5.86
182,Iling Junior,C,Pisa,6.5
183,Ilkhan,C,Torino,5.83
184,Isaksen,C,Lazio,6.72
185,Jashari,C,Milan,5.9
186,Kaba,C,Lecce,5.73
187,Karlstrom,C,Udinese,5.98
188,Kastanos,C,Verona,6.0
189,Keita M.,C,Parma,6.0
190,Konè I.,C,Sassuolo,6.61
191,Konè M.,C,Roma,6.61
192,Koopmeiners,C,Juventus,5.55
193,Kostic,C,Juventus,7.2
194,Leris,C,Pisa,6.26
195,Lipani,C,Sassuolo,5.82
196,Liteta,C,Cagliari,5.75
197,Lobotka,C,Napoli,6.22
198,Locatelli,C,Juventus,6.44
199,Loftus-Cheek,C,Milan,6.68
200,Lorran,C,Pisa,6.62
201,Lovric,C,Verona,5.8
202,Loyola,C,Pisa,7.17
203,Luis Henrique,C,Inter,6.17
204,Maldini,C,Lazio,5.94
205,Maleh,C,Cremonese,5.68
206,Malinovskyi,C,Genoa,6.74
207,Mandragora,C,Fiorentina,6.74
208,Marin M.,C,Pisa,5.71
209,Masini,C,Genoa,5.81
210,Matic,C,Sassuolo,6.07
211,Mazzitelli,C,Cagliari,6.95
212,McKennie,C,Juventus,6.89
213,McTominay,C,Napoli,7.26
214,Messias,C,Genoa,6.44
215,Miller L.,C,Udinese,5.75
216,Miretti,C,Juventus,6.5
217,Mkhitaryan,C,Inter,6.25
218,Modric,C,Milan,6.86
219,Moro N.,C,Bologna,6.06
220,Musah,C,Atalanta,5.91
221,Ndour,C,Fiorentina,5.88
222,Neres,C,Napoli,6.84
223,Niasse,C,Verona,5.8
224,Nicolussi Caviglia,C,Parma,5.95
225,Odgaard,C,Bologna,6.69
226,Onana J.,C,Genoa,5.5
227,Ondrejka,C,Parma,5.62
228,Ordonez C.,C,Parma,5.85
229,Oristanio,C,Parma,5.64
230,Orsolini,C,Bologna,6.93
231,Pasalic,C,Atalanta,6.39
232,Payero,C,Cremonese,6.0
233,Paz N.,C,Como,7.25
234,Pellegrini Lo.,C,Roma,6.53
235,Perrone,C,Como,6.48
236,Piccinini G.,C,Pisa,5.83
237,Pierotti,C,Lecce,5.74
238,Pierret,C,Lecce,6.0
239,Piotrowski,C,Udinese,6.0
240,Pisilli,C,Roma,6.17
241,Pobega,C,Bologna,6.09
242,Politano,C,Napoli,6.12
