ID,Giocatore,Posizione,Squadra,Partite giocate
187,Karlstrom,C,Udinese,25
188,Kastanos,C,Verona,1
189,Keita M.,C,Parma,23
190,Konè I.,C,Sassuolo,22
191,Konè M.,C,Roma,22
192,Koopmeiners,C,Juventus,20
193,Kostic,C,Juventus,10
194,Leris,C,Pisa,21
195,Lipani,C,Sassuolo,11
196,Liteta,C,Cagliari,2
197,Lobotka,C,Napoli,20
198,Locatelli,C,Juventus,24
199,Loftus-Cheek,C,Milan,19
200,Lorran,C,Pisa,4
201,Lovric,C,Verona,5
202,Loyola,C,Pisa,3
203,Luis Henrique,C,Inter,18
204,Maldini,C,Lazio,9
205,Maleh,C,Cremonese,11
206,Malinovskyi,C,Genoa,23
207,Mandragora,C,Fiorentina,25
208,Marin M.,C,Pisa,17
209,Masini,C,Genoa,16
210,Matic,C,Sassuolo,23
211,Mazzitelli,C,Cagliari,10
212,McKennie,C,Juventus,22
213,McTominay,C,Napoli,23
214,Messias,C,Genoa,9
215,Miller L.,C,Udinese,10
216,Miretti,C,Juventus,10
217,Mkhitaryan,C,Inter,18
218,Modric,C,Milan,22
219,Moro N.,C,Bologna,17
220,Musah,C,Atalanta,11
221,Ndour,C,Fiorentina,17
222,Neres,C,Napoli,16
223,Niasse,C,Verona,15
224,Nicolussi Caviglia,C,Parma,11
225,Odgaard,C,Bologna,16
226,Onana J.,C,Genoa,1
227,Ondrejka,C,Parma,12
228,Ordonez C.,C,Parma,10
229,Oristanio,C,Parma,14
230,Orsolini,C,Bologna,22
231,Pasalic,C,Atalanta,19
232,Payero,C,Cremonese,17
233,Paz N.,C,Como,24
234,Pellegrini Lo.,C,Roma,17
235,Perrone,C,Como,22
236,Piccinini G.,C,Pisa,12
237,Pierotti,C,Lecce,23
238,Pierret,C,Lecce,1
239,Piotrowski,C,Udinese,20
240,Pisilli,C,Roma,9
241,Pobega,C,Bologna,17
242,Politano,C,Napoli,21
243,Prati,C,Torino,21
244,Pulisic,C,Milan,15
245,Rabiot,C,Milan,17
246,Ramadani,C,Lecce,23
247,Ricci S.,C,Milan,18
248,Richardson,C,Fiorentina,1
249,Rovella,C,Lazio,7
250,Rowe,C,Bologna,16
251,Sabiri,C,Fiorentina,1
252,Saelemaekers,C,Milan,22
253,Sala A.,C,Lecce,4
254,Samardzic,C,Atalanta,14
255,Santos A.,C,Napoli,1
256,Sarmiento J.,C,Cremonese,5
257,Serdar,C,Verona,18
258,Sergi Roberto,C,Como,7
259,Sohm,C,Bologna,15
260,Sorensen O.,C,Parma,22
261,Sottil,C,Lecce,18
262,Stanciu,C,Genoa,4
263,Strefezza,C,Parma,2
264,Sucic P.,C,Inter,18
265,Sulemana I.,C,Cagliari,5
266,Tameze,C,Torino,17
267,Taylor K.,C,Lazio,6
268,Tete Morente,C,Lecce,15
269,Thorsby,C,Cremonese,14
270,Thorstvedt,C,Sassuolo,19
271,Thuram K.,C,Juventus,22
272,Tourè I.,C,Pisa,23
273,Tramoni M.,C,Pisa,20
274,Vandeputte,C,Cremonese,21
275,Vazquez,C,Cremonese,13
276,Vecino,C,Lazio,12
277,Venturino,C,Roma,3
278,Vergara,C,Napoli,5
279,Vlasic,C,Torino,24
280,Volpato,C,Sassuolo,12
281,Vranckx,C,Sassuolo,12
282,Vural,C,Pisa,8
283,Zaccagni,C,Lazio,19
284,Zalewski,C,Atalanta,19
285,Zambo Anguissa,C,Napoli,11
286,Zaniolo,C,Udinese,20
287,Zaragoza,C,Roma,2
288,Zarraga,C,Udinese,5
289,Zerbin,C,Cremonese,18
290,Zhegrova,C,Juventus,8
291,Zielinski,C,Inter,18
292,Acerbi,D,Inter,11
293,Ahanor,D,Atalanta,15
294,Akanji,D,Inter,22
295,Albiol,D,Pisa,6
296,Angelino,D,Roma,5
297,Angori,D,Pisa,22
298,Athekame,D,Milan,7
299,Barbieri,D,Cremonese,18
300,Bartesaghi,D,Milan,19
301,Baschirotto,D,Cremonese,25
302,Bastoni,D,Inter,22
303,Belghali,D,Verona,16
304,Bella-Kotchap,D,Verona,14
305,Bellanova,D,Atalanta,14
306,Bernasconi,D,Atalanta,14
307,Bertola,D,Udinese,20
308,Beukema,D,Napoli,13
309,Bianchetti,D,Cremonese,19
310,Biraghi,D,Torino,9
311,Bisseck,D,Inter,14
312,Bonfanti,D,Pisa,9
313,Bozhinov,D,Pisa,3
314,Bradaric,D,Verona,20
315,Bremer,D,Juventus,15
316,Britschgi,D,Parma,20
317,Buongiorno,D,Napoli,20
318,Cabal,D,Juventus,9
319,Calabresi,D,Pisa,16
320,Cambiaso,D,Juventus,23
321,Candè,D,Sassuolo,8
322,Canestrelli,D,Pisa,25
323,Caracciolo A.,D,Pisa,23
324,Carlos Augusto,D,Inter,17
325,Casale,D,Bologna,8
326,Ceccherini,D,Cremonese,7
327,Celik,D,Roma,20
328,Cham,D,Verona,3
329,Circati,D,Parma,20
330,Coco,D,Torino,22
331,Comuzzo,D,Fiorentina,18
332,Coppola F.,D,Pisa,3
333,Coulibaly W.,D,Sassuolo,8
334,Cuadrado,D,Pisa,9
335,Darmian,D,Inter,2
336,De Silvestri,D,Bologna,5
337,De Vrij,D,Inter,3
338,De Winter,D,Milan,14
339,Delprato,D,Parma,24
340,Dembelè A.,D,Torino,1
341,Denoon,D,Pisa,2
342,Di Lorenzo,D,Napoli,23
343,Di Pardo,D,Cagliari,1
344,Diego Carlos,D,Como,15
345,Dimarco,D,Inter,23
346,Djimsiti,D,Atalanta,22
347,Dodò,D,Fiorentina,25
348,Doig,D,Sassuolo,23
349,Dossena,D,Cagliari,1
350,Dumfries,D,Inter,11
351,Ebosse,D,Torino,3
352,Edmundsson,D,Verona,2
353,Ehizibue,D,Udinese,14
354,Estupinan,D,Milan,9
355,Faye,D,Cremonese,6
356,Floriani Mussolini,D,Cremonese,15
357,Folino,D,Cremonese,6
358,Fortini,D,Fiorentina,12
359,Frese,D,Verona,19
360,Gabbia,D,Milan,22
361,Gallo,D,Lecce,24
362,Garcia U.,D,Sassuolo,2
363,Gaspar K.,D,Lecce,20
364,Gatti,D,Juventus,11
365,Ghilardi,D,Roma,9
366,Gila,D,Lazio,24
367,Goglichidze,D,Udinese,6
368,Gosens,D,Fiorentina,16
369,Gutierrez,D,Napoli,10
370,Heggem,D,Bologna,21
371,Hermoso,D,Roma,17
372,Hien,D,Atalanta,20
373,Holm,D,Juventus,11
374,Hysaj,D,Lazio,2
375,Idrissi R.,D,Cagliari,15
376,Idzes,D,Sassuolo,24
377,Ismajli,D,Torino,15
378,Jimenez A.,D,Milan,1
379,Joao Mario,D,Bologna,6
380,Juan Jesus,D,Napoli,15
381,Kabasele,D,Udinese,16
382,Kalulu,D,Juventus,25
383,Kamara H.,D,Udinese,15
384,Kelly L.,D,Juventus,22
385,Kempf,D,Como,16
386,Kolasinac,D,Atalanta,7
387,Kossounou,D,Atalanta,12
388,Kouadio,D,Fiorentina,1
389,Kouassi,D,Lecce,4
390,Kristensen T.,D,Udinese,15
391,Lamptey,D,Fiorentina,1
392,Lazaro,D,Torino,24
