Team,Giocatore,Ruolo,Squadra,PrezzoAcquisto,PrezzoAttuale
SPERA EBBASTA,Ilkhan,C,Tor,1,1
SPERA EBBASTA,Konè I.,C,Sas,6,6
SPERA EBBASTA,Gronbaek,C,Gen,12,12
SPERA EBBASTA,Paz N.,C,Com,21,21
SPERA EBBASTA,Leao,A,Mil,23,23
SPERA EBBASTA,Thuram,A,Int,31,31
SPERA EBBASTA,Hojlund,A,Nap,21,21
SPERA EBBASTA,Lucca *,A,Nap,15,15
SPERA EBBASTA,Buffon L.,A,Pis,1,1
DonBosko46,Perin,P,Juv,1,1
DonBosko46,Sommer,P,Int,16,16
DonBosko46,Martinez Jo.,P,Int,2,2
DonBosko46,Mancini,D,Rom,11,11
DonBosko46,Lykogiannis,D,Bol,2,2
DonBosko46,Bellanova,D,Ata,13,13
DonBosko46,Pavlovic,D,Mil,12,12
DonBosko46,Dodò,D,Fio,7,7
DonBosko46,Tiago Gabriel,D,Lec,1,1
DonBosko46,Oyegoke,D,Ver,2,2
DonBosko46,Politano,C,Nap,15,15
DonBosko46,Orsolini,C,Bol,31,31
DonBosko46,Pulisic,C,Mil,28,28
DonBosko46,Saelemaekers,C,Mil,12,12
DonBosko46,Berisha M.,C,Lec,3,3
DonBosko46,Kaba,C,Lec,2,2
DonBosko46,Atta,C,Udi,6,6
DonBosko46,Iannoni,C,Sas,1,1
DonBosko46,Immobile,A,Bol,5,5
DonBosko46,Martinez L.,A,Int,34,34
DonBosko46,Vlahovic,A,Juv,21,21
DonBosko46,Hojlund,A,Nap,21,21
DonBosko46,Giovane,A,Nap,1,1
LosPollosHermanos,Terracciano,P,Mil,1,1
LosPollosHermanos,Maignan,P,Mil,16,16
LosPollosHermanos,Torriani,P,Mil,1,1
LosPollosHermanos,Lazaro,D,Tor,7,7
LosPollosHermanos,Bellanova,D,Ata,13,13
LosPollosHermanos,Dumfries,D,Int,21,21
LosPollosHermanos,Zanoli,D,Udi,3,3
LosPollosHermanos,Delprato,D,Par,8,8
LosPollosHermanos,Smolcic I.,D,Com,2,2
LosPollosHermanos,Joao Mario,D,Juv,8,8
LosPollosHermanos,Bernardeschi,C,Bol,9,9
LosPollosHermanos,El Shaarawy,C,Rom,8,8
LosPollosHermanos,Orsolini,C,Bol,31,31
LosPollosHermanos,McKennie,C,Juv,6,6
LosPollosHermanos,Ekkelenkamp,C,Udi,10,10
LosPollosHermanos,Paz N.,C,Com,20,20
LosPollosHermanos,Atta,C,Udi,8,8
LosPollosHermanos,Vandeputte,C,Cre,12,12
LosPollosHermanos,Pinamonti,A,Sas,17,17
LosPollosHermanos,Thuram,A,Int,29,29
LosPollosHermanos,Soulè,A,Rom,20,20
LosPollosHermanos,Benedyczak,A,Par,1,1
LosPollosHermanos,Meister,A,Pis,3,3
SerSi-FC,Di Gennaro,P,Int,1,1
SerSi-FC,Sommer,P,Int,16,16
SerSi-FC,Martinez Jo.,P,Int,2,2
SerSi-FC,Martin,D,Gen,10,10
SerSi-FC,Tomori,D,Mil,8,8
SerSi-FC,Cambiaso,D,Juv,15,15
SerSi-FC,Ostigard,D,Gen,9,9
SerSi-FC,Palestra,D,Cag,4,4
SerSi-FC,Valle,D,Com,6,6
SerSi-FC,Esteves T. *,D,Pis,1,1
SerSi-FC,Pulisic,C,Mil,28,28
SerSi-FC,Loftus-Cheek,C,Mil,8,8
SerSi-FC,Malinovskyi,C,Gen,7,7
SerSi-FC,Adopo,C,Cag,5,5
SerSi-FC,Zalewski,C,Ata,6,6
SerSi-FC,Gudmundsson A.,C,Fio,24,24
SerSi-FC,Paz N.,C,Com,21,21
SerSi-FC,Atta,C,Udi,6,6
SerSi-FC,Bonazzoli,A,Cre,1,1
SerSi-FC,Simeone,A,Tor,18,18
SerSi-FC,Scamacca,A,Ata,16,16
SerSi-FC,Castellanos *,A,Laz,21,21
