Team,Giocatore,Ruolo,Squadra,PrezzoAcquisto,PrezzoAttuale
SPERA EBBASTA,Wesley,D,Roma,14,16
SPERA EBBASTA,Zaccagni,C,Lazio,26,14
SPERA EBBASTA,Pulisic,C,Milan,28,31
SPERA EBBASTA,Akpa Akpro,C,Verona,1,2
SPERA EBBASTA,Zerbin,C,Cremonese,3,6
SPERA EBBASTA,Ilkhan,C,Torino,1,2
SPERA EBBASTA,Konè I.,C,Sassuolo,6,16
SPERA EBBASTA,Gronbaek *,C,Genoa,12,2
SPERA EBBASTA,Paz N.,C,Como,21,30
SPERA EBBASTA,Leao,A,Milan,23,30
SPERA EBBASTA,Thuram,A,Inter,31,29
SPERA EBBASTA,Hojlund,A,Napoli,21,25
SPERA EBBASTA,Lucca *,A,Napoli,15,5
SPERA EBBASTA,Buffon L. *,A,Pisa,1,1
DonBosko46,Perin,P,Juventus,1,3
DonBosko46,Sommer,P,Inter,16,14
DonBosko46,Martinez Jo.,P,Inter,2,1
DonBosko46,Mancini,D,Roma,11,10
DonBosko46,Lykogiannis,D,Bologna,2,2
DonBosko46,Bellanova,D,Atalanta,13,6
DonBosko46,Pavlovic,D,Milan,12,15
DonBosko46,Dodò,D,Fiorentina,7,6
DonBosko46,Tiago Gabriel,D,Lecce,1,9
DonBosko46,Oyegoke,D,Verona,2,1
DonBosko46,Politano,C,Napoli,15,11
DonBosko46,Orsolini,C,Bologna,31,24
DonBosko46,Pulisic,C,Milan,28,31
DonBosko46,Saelemaekers,C,Milan,12,19
DonBosko46,Berisha M.,C,Lecce,3,13
DonBosko46,Kaba *,C,Lecce,2,3
DonBosko46,Atta,C,Udinese,6,16
DonBosko46,Iannoni,C,Sassuolo,1,5
DonBosko46,Immobile *,A,Bologna,5,5
DonBosko46,Martinez L.,A,Inter,34,34
DonBosko46,Vlahovic,A,Juventus,21,15
DonBosko46,Hojlund,A,Napoli,21,25
DonBosko46,Giovane,A,Napoli,1,17
LosPollosHermanos,Terracciano,P,Milan,1,1
LosPollosHermanos,Maignan,P,Milan,16,20
LosPollosHermanos,Torriani,P,Milan,1,1
LosPollosHermanos,Lazaro,D,Torino,7,7
LosPollosHermanos,Bellanova,D,Atalanta,13,6
LosPollosHermanos,Dumfries,D,Inter,21,10
LosPollosHermanos,Zanoli,D,Udinese,3,9
LosPollosHermanos,Delprato,D,Parma,8,9
LosPollosHermanos,Smolcic I.,D,Como,2,3
LosPollosHermanos,Joao Mario,D,Juventus,8,2
LosPollosHermanos,Bernardeschi,C,Bologna,9,5
LosPollosHermanos,El Shaarawy,C,Roma,8,8
LosPollosHermanos,Orsolini,C,Bologna,31,24
LosPollosHermanos,McKennie,C,Juventus,6,14
LosPollosHermanos,Ekkelenkamp,C,Udinese,10,12
LosPollosHermanos,Paz N.,C,Como,20,30
LosPollosHermanos,Atta,C,Udinese,8,16
LosPollosHermanos,Vandeputte,C,Cremonese,12,13
LosPollosHermanos,Pinamonti,A,Sassuolo,17,14
LosPollosHermanos,Thuram,A,Inter,29,29
LosPollosHermanos,Soulè,A,Roma,20,26
LosPollosHermanos,Benedyczak *,A,Parma,1,8
LosPollosHermanos,Meister,A,Pisa,3,8
SerSi-FC,Di Gennaro,P,Inter,1,1
SerSi-FC,Sommer,P,Inter,16,14
SerSi-FC,Martinez Jo.,P,Inter,2,1
SerSi-FC,Martin,D,Genoa,10,14
SerSi-FC,Tomori,D,Milan,8,7
SerSi-FC,Cambiaso,D,Juventus,15,10
SerSi-FC,Ostigard,D,Genoa,9,15
SerSi-FC,Palestra,D,Cagliari,4,15
SerSi-FC,Valle,D,Como,6,8
SerSi-FC,Esteves T. *,D,Pisa,1,1
SerSi-FC,Rabiot,C,Milan,26,23
SerSi-FC,Pulisic,C,Milan,28,31
SerSi-FC,Malinovskyi,C,Genoa,7,12
SerSi-FC,McTominay,C,Napoli,24,25
