round,fantateam,module,portiere,difensori,centrocampisti,attaccanti,panchina,capitano,vice_capitano,base_total,mod_difesa,mod_capitano,predicted_total
28,KARABE 1975,3-4-3,Pessina Mas.,Pavlovic;Zappacosta;Tiago Gabriel,Baturina;Zielinski;Ederson D.S.;Gudmundsson A.,Hojlund;Scamacca;Kean,Skorupski;Esposito Se.;Colombo;Marusic;Idrissi R.;Valeri;Thorstvedt,Hojlund,Scamacca,79.8,0.0,0.0,79.8
28,Kung-Fu Pandev,3-4-3,Martinez Jo.,Wesley;Tiago Gabriel;Norton-Cuffy,McKennie;Paz N.;Conceicao;Politano,Hojlund;David;Soulè,Sommer;Kean;Vlasic;Maldini;Zaragoza;Veiga D.;Doig,Hojlund,Soulè,78.76,0.0,0.0,78.76
28,LE 4 M,3-4-3,Di Gregorio,Palestra;Martin;Solet,Pulisic;McKennie;Paz N.;Zielinski,Hojlund;Martinez L.;Kean,Perin;Zaniolo;Dumfries;Joao Mario;Ndour;Delprato;Prati,McKennie,Martinez L.,82.36,0.0,0.0,82.36
28,LEONE,4-3-3,Milinkovic-Savic V.,Bremer;Kempf;Pavlovic;Bisseck,Paz N.;Saelemaekers;Ederson D.S.,Kilicsoy;Berardi;Davis K.,Meret;Wesley;Cambiaso;Atta;Simeone;Dodò;Piccoli,Bremer,Pavlovic,79.09,1.0,0.0,80.09
28,Leonte FC,3-4-3,Di Gregorio,Bremer;Pavlovic;Bastoni,Pulisic;McTominay;Vergara;Basic,Martinez L.;Leao;Soulè,Perin;Cancellieri;Dodò;Stulic;Djimsiti;Ndour;Estevez,Martinez L.,Bastoni,83.61,0.0,0.0,83.61
28,Lions,3-5-2,Di Gregorio,Cambiaso;Gosens;Bellanova,Pulisic;McTominay;Paz N.;Loftus-Cheek;Pasalic,Thuram;Douvikas,Perin;Cancellieri;Tiago Gabriel;Provstgaard;Ndour;Prati;Kristensen T.,McTominay,Gosens,80.19,0.0,0.0,80.19
28,Longobarda,3-4-3,Maignan,Cambiaso;Akanji;Dodò,McTominay;Paz N.;Vergara;Konè M.,Solomon;Soulè;Kean,Terracciano;Berardi;Dybala;Vasquez;Baldanzi;Pezzella Giu.;Bondo,Cambiaso,Dodò,79.08,0.0,0.0,79.08
28,LosPollosHermanos,3-4-3,Maignan,Dimarco;Bellanova;Dumfries,McTominay;McKennie;Orsolini;Zielinski,Malen;Raspadori;Boga,Terracciano;Atta;Bernardeschi;El Shaarawy;Pinamonti;Ekkelenkamp;Joao Mario,McTominay,Orsolini,85.94,0.0,0.0,85.94
28,Lunarossa,3-4-3,Martinez Jo.,Wesley;Bartesaghi;Tiago Gabriel,Pulisic;McTominay;Baturina;Paz N.,Yildiz;Hojlund;Martinez L.,Sommer;Elmas;Mina;Strefezza;Tavares N.;Zerbin;Lazaro,Martinez L.,Hojlund,84.49,0.0,0.0,84.49
28,MARCIO TEAM,3-4-3,Di Gregorio,Palestra;Gosens;Hermoso,Pulisic;McTominay;Orsolini;Paz N.,Malen;Martinez L.;Solomon,Perin;Berardi;El Shaarawy;Maldini;Norton-Cuffy;Ndour;Muharemovic,Malen,Palestra,85.14,0.0,0.5,85.64
28,Malmö FF,3-4-3,Di Gregorio,Wesley;Buongiorno;De Winter,McTominay;Modric;Malinovskyi;Coulibaly L.,Martinez L.;Bonny;Berardi,Perin;Esposito Se.;Piccoli;Bellanova;Terracciano F.;Gila;Ekkelenkamp,Modric,McTominay,78.41,0.0,0.0,78.41
28,Mapoitta,3-4-3,Martinez Jo.,Cambiaso;Zappacosta;Gosens,McTominay;McKennie;Paz N.;Malinovskyi,Scamacca;Leao;Thuram,Sommer;Boga;Zaniolo;Moro N.;Vojvoda;Bellanova;Tiago Gabriel,Scamacca,McTominay,81.09,0.0,0.0,81.09
28,Nastro Azzurro,3-5-2,Svilar,Gosens;Gabbia;Veiga D.,Pulisic;McTominay;McKennie;Baturina;Paz N.,Malen;Martinez L.,Gollini;David;Vergara;Kean;Prati;Obert;Valenti,Martinez L.,McTominay,84.7,0.0,0.0,84.7
28,Non troppo cattivi,3-5-2,Svilar,Dimarco;Martin;Norton-Cuffy,Pulisic;McTominay;Orsolini;Paz N.;Ndour,Malen;Martinez L.,Perin;Muharemovic;Prati;Bianchetti;Diouf;Niasse;Zemura,Martinez L.,Malen,85.29,0.0,0.0,85.29
28,OnlyFans,3-4-3,Carnesecchi,Palestra;Gosens;Martin,Pulisic;McTominay;Thuram K.;Zaniolo,Leao;Thuram;Berardi,Sportiello;Dodò;Terracciano F.;Kouamè *;Mina;Adopo;Diouf,Pulisic,McTominay,81.02,0.0,0.0,81.02
28,PEAKY BLINDERS,3-4-3,Di Gregorio,Martin;Dodò;Bellanova,Pulisic;Rabiot;Paz N.;Zaniolo,Hojlund;Martinez L.;David,Perin;Maldini;Norton-Cuffy;Barbieri;Valeri;Sorensen O.;Adopo,Martinez L.,David,80.83,0.0,0.0,80.83
28,Peaky Tunas,3-4-3,Di Gregorio,Di Lorenzo;Bastoni;Terracciano F.,Pulisic;Paz N.;Barella;Konè I.,Yildiz;Martinez L.;Leao,Perin;Tiago Gabriel;Obert;Piotrowski;Angori;Pavoletti;Hysaj,Martinez L.,Paz N.,80.85,0.0,0.0,80.85
28,Pi-Ciaccio,3-4-3,Maignan,Bremer;Gutierrez;Martin,McTominay;Rabiot;Paz N.;Atta,Martinez L.;Douvikas;David,Terracciano;Esposito Se.;Colombo;Mancini;Bellanova;Tiago Gabriel;Mina,Martinez L.,McTominay,81.91,0.0,0.0,81.91
28,Piovra73,3-4-3,Maignan,Cambiaso;Terracciano F.;Tiago Gabriel,McTominay;Orsolini;Paz N.;Vergara,Martinez L.;Giovane;Kean,Terracciano;Berardi;Mazzitelli;Marcandalli;Sorensen O.;Veiga D.;Tavares N.,Kean,Martinez L.,80.66,0.0,0.0,80.66
28,Plu-Team,3-5-2,Di Gregorio,Wesley;Bartesaghi;Bernasconi,Pulisic;Orsolini;Paz N.;Adzic;Saelemaekers,Martinez L.;Bonny,Perin;Esposito F.P.;Gosens;Da Cunha;Martin;Bellanova;Zerbin,Martinez L.,Orsolini,81.04,0.0,0.0,81.04
28,Pro secco,3-4-3,Maignan,Vojvoda;Terracciano F.;Tiago Gabriel,Pulisic;McTominay;Orsolini;Paz N.,Hojlund;Martinez L.;Douvikas,Terracciano;Vlasic;Hien;Nicolussi Caviglia;Zappa;Sala A.;Doig,Martinez L.,Hojlund,82.99,0.0,0.0,82.99
28,ProPro Proibito,3-4-3,Terracciano,Rrahmani;Tiago Gabriel;Joao Mario,McTominay;Paz N.;Zalewski;Vergara,Martinez L.;David;Kilicsoy,Martinez Jo.;Thuram K.;Zaniolo;Cristante;Vardy;Luperto;Valeri,Martinez L.,McTominay,79.84,0.0,0.0,79.84
28,ROCKY 3,4-3-3,Milinkovic-Savic V.,Palestra;Wesley;Martin;Tomori,Rabiot;Paz N.;Ederson D.S.,Martinez L.;Douvikas;Solomon,Meret;Berardi;Norton-Cuffy;Joao Mario;Koopmeiners;Frendrup;Rovella,Martinez L.,Rabiot,79.01,1.0,0.0,80.01
28,Real Mellandro,3-4-3,Maignan,Tiago Gabriel;Norton-Cuffy;Barbieri,Pulisic;Paz N.;Zaccagni;Zaniolo,Malen;Yildiz;Martinez L.,Terracciano;Berardi;Maldini;Marcandalli;Rugani;Smolcic I.;Meister,Malen,Zaniolo,82.73,0.0,0.5,83.23
28,Riccardigno,3-4-3,Maignan,Kempf;Gosens;Tiago Gabriel,Pulisic;Paz N.;Isaksen;Politano,Douvikas;David;Kilicsoy,Terracciano;Zaniolo;Bonazzoli;Brescianini;Zaragoza;Valeri;Doig,David,Gosens,79.59,0.0,0.0,79.59
28,SAGATU,3-4-3,Martinez Jo.,Cambiaso;Gosens;Terracciano F.,Pulisic;McKennie;Baturina;Atta,Martinez L.;Giovane;David,Sommer;Kean;Pinamonti;Prati;Bianchetti;Doig;Zerbin,Martinez L.,McKennie,80.2,0.0,0.0,80.2
28,SILVEDO,4-3-3,Maignan,Palestra;Dodò;Terracciano F.;Vasquez,Orsolini;Paz N.;Zaniolo,Martinez L.;David;Berardi,Terracciano;Pisilli;Idrissi R.;Djimsiti;Folorunsho;Koopmeiners;Ndour,David,Zaniolo,77.41,1.0,0.0,78.41
28,SMOG,3-4-3,Milinkovic-Savic V.,Kempf;Martin;Terracciano F.,McKennie;Paz N.;Odgaard;Gudmundsson A.,Martinez L.;David;Kilicsoy,Perin;Kean;Esposito Se.;Zaniolo;Joao Mario;Delprato;Tourè I.,Martinez L.,Milinkovic-Savic V.,79.66,0.0,0.0,79.66
28,SPARROW,3-4-3,Maignan,Dimarco;Palestra;Wesley,McTominay;McKennie;Paz N.;Gudmundsson A.,Malen;Martinez L.;David,Terracciano;Esposito F.P.;Martin;Dodò;Bellanova;Maldini;Valeri,Martinez L.,Dimarco,86.38,0.0,0.0,86.38
28,SPERA EBBASTA,3-4-3,Martinez Jo.,Wesley;Dodò;Bellanova,Pulisic;Rabiot;Paz N.;Konè I.,Hojlund;Martinez L.;Kean,Sommer;Tiago Gabriel;Nicolussi Caviglia;Valeri;Obert;Zerbin;Marianucci,Kean,Hojlund,80.5,0.0,0.0,80.5
28,SPOSTATI,3-4-3,De Gea,Palestra;Martin;Valle,Pulisic;Paz N.;Vergara;Isaksen,Hojlund;Martinez L.;Leao,Lezzerini;Mazzitelli;Ferguson;Bellanova;Mina;Kuhn;Tramoni M.,Martinez L.,Palestra,81.54,0.0,0.0,81.54
28,Sarzanello Team,4-3-3,Maignan,Scalvini;Wesley;Martin;Miranda J.,Paz N.;Pasalic;Atta,Yildiz;Martinez L.;Esposito F.P.,Terracciano;Esposito Se.;Sucic P.;Ekkelenkamp;Barbieri;Joao Mario;Casadei,Martinez L.,Esposito F.P.,79.1,0.0,0.0,79.1
28,Scarzooka,3-4-3,Di Gregorio,Akanji;Vojvoda;Dodò,Pulisic;Calhanoglu;Zalewski;Isaksen,Malen;Martinez L.;Douvikas,Perin;Kean;Da Cunha;Tiago Gabriel;Norton-Cuffy;Joao Mario;Njie,Martinez L.,Malen,83.09,0.0,0.0,83.09
28,Sciabolata Classica,3-4-3,Svilar,Martin;Bellanova;Veiga D.,McTominay;Paz N.;Zielinski;Vergara,Hojlund;David;Kean,Perin;Berardi;Vlasic;Sala A.;Rugani;Tavares N.;Angori,Vergara,Zielinski,79.77,0.0,0.0,79.77
28,SerSi-FC,3-4-3,Martinez Jo.,Palestra;Ostigard;Cambiaso,Pulisic;McTominay;Rabiot;Paz N.,Hojlund;Scamacca;Douvikas,Sommer;Malinovskyi;Atta;Martin;Valle;Maldini;Tomori,McTominay,Palestra,83.95,0.0,0.0,83.95
28,Sisal Palace,3-4-3,Svilar,Cambiaso;Akanji;Tomori,Pulisic;McKennie;Thuram K.;Barella,Hojlund;Scamacca;Thuram,Vasquez D. *;Douvikas;Dallinga;Iannoni;Adopo;Olivera;Kristensen T.,Scamacca,Hojlund,81.02,0.0,0.0,81.02
28,Tana delle Tigri,3-4-3,Carnesecchi,Dimarco;Martin;Solet,Pulisic;McTominay;Paz N.;Atta,Martinez L.;Leao;David,Perin;Berardi;Bellanova;Tiago Gabriel;Maldini;Barbieri;Zerbin,Martinez L.,Solet,83.93,0.0,0.0,83.93
28,Temptation Haaland,3-4-3,Maignan,Dimarco;Bellanova;Barbieri,Pulisic;McTominay;Baturina;Paz N.,Malen;Martinez L.;David,Terracciano;Vergara;Valeri;Sala A.;Ndour;Walukiewicz;Zerbin,Malen,Martinez L.,86.58,0.0,0.5,87.08
28,TomMat-iga,3-4-3,Maignan,Ramon;Gosens;Martin,Pulisic;McTominay;Orsolini;Paz N.,Malen;Scamacca;Martinez L.,Terracciano;Thuram;Vergara;El Shaarawy;Bellanova;Tiago Gabriel;Maldini,Scamacca,McTominay,86.45,0.0,0.0,86.45
28,XLiverpuh,3-4-3,Svilar,Kempf;Palestra;Gutierrez,Pulisic;Paz N.;Zielinski;Zaniolo,Yildiz;Hojlund;Martinez L.,Zelezny;Kilicsoy;Atta;Valle;Terracciano F.;Dia;Prati,Hojlund,Pulisic,83.44,0.0,0.0,83.44
28,buttiglia25,4-3-3,Svilar,Martin;Bellanova;Tiago Gabriel;Dumfries,Pulisic;McTominay;Zaccagni,Yildiz;Hojlund;Thuram,Vasquez D. *;Idrissi R.;Ramadani;Juan Jesus;Harroui;Zerbin;Pezzella Giu.,Hojlund,Yildiz,81.02,0.0,0.0,81.02
28,coach 71,3-4-3,Milinkovic-Savic V.,Miranda J.;Terracciano F.;Tiago Gabriel,Paz N.;Zielinski;Malinovskyi;Zaniolo,Malen;Hojlund;Giovane,Maignan;Nkunku;Kean;Dumfries;Norton-Cuffy;N'Dicka;Zaragoza,Malen,Zielinski,81.23,0.0,0.5,81.73
28,i bro,3-4-3,Svilar,Bernasconi;Dodò;Tiago Gabriel,Pulisic;McTominay;McKennie;Miretti,Hojlund;Thuram;Douvikas,Vasquez D. *;Esposito Se.;Mkhitaryan;Folorunsho;Mina;Joao Mario;Zerbin,Thuram,Hojlund,82.04,0.0,0.0,82.04
28,i fratelli merda,3-4-3,Carnesecchi,De Winter;Tiago Gabriel;Belghali,Paz N.;Loftus-Cheek;Thuram K.;Bernabè,Yildiz;Martinez L.;Solomon,Terracciano;Esposito Se.;Colombo;Da Cunha;Barella;Dumfries;Idrissi R.,Martinez L.,Yildiz,79.08,0.0,0.0,79.08
28,kalashnikov,3-4-3,Pessina Mas.,Pavlovic;Rrahmani;Cambiaso,Pulisic;McTominay;Adzic;Gudmundsson A.,Scamacca;Douvikas;Solomon,Skorupski;Kean;Zaniolo;Messias;Dumfries;Mina;Juan Jesus,Scamacca,Pulisic,82.04,0.0,0.0,82.04
28,lagg,3-4-3,Maignan,Wesley;Martin;Miranda J.,McKennie;Paz N.;Malinovskyi;Zaccagni,Scamacca;David;Kean,Terracciano;Da Cunha;Maldini;Heggem;Joao Mario;Nicolussi Caviglia;Sala A.,David,Wesley,78.87,0.0,0.0,78.87
28,mezzebirre,4-4-2,Maignan,Holm;Kempf;Wesley;Beukema,Pulisic;Neres;Odgaard;Zaccagni,Leao;Davis K.,Caprile;Addai;Hermoso;Barbieri;Ndour;Camarda;Sanabria,Leao,Pulisic,80.15,1.0,0.0,81.15
28,pacho team,3-4-3,Milinkovic-Savic V.,Ramon;Martin;Baschirotto,McKennie;Baturina;Paz N.;Atta,Yildiz;Hojlund;Martinez L.,Caprile;Pellegrino M.;Mina;Valeri;Marcandalli;Strefezza;Zerbin,Paz N.,Baturina,82.22,0.0,0.0,82.22
28,puerto rosso blu,3-4-3,Pessina Mas.,Palestra;Wesley;Gutierrez,McTominay;Vergara;Saelemaekers;Gudmundsson A.,Scamacca;Thuram;Douvikas,Skorupski;Malinovskyi;Esposito Se.;Vojvoda;Folorunsho;Nicolussi Caviglia;Walukiewicz,Thuram,Gudmundsson A.,80.31,0.0,0.0,80.31
28,real donk,3-4-3,Svilar,Wesley;Ostigard;Gatti,Pulisic;Thuram K.;Pasalic;Zaniolo,Krstovic;Nkunku;Kilicsoy,Torriani;Esposito F.P.;Pellegrino M.;Vojvoda;Lucumì;Prati;Bertola,Pulisic,Zaniolo,79.93,0.0,0.0,79.93
28,scarsenal,3-4-3,Caprile,Pavlovic;Ramon;Dodò,McTominay;McKennie;Orsolini;Saelemaekers,Malen;Scamacca;Martinez L.,Sherri;Lobotka;Atta;Rodriguez Je.;Pinamonti;Norton-Cuffy;N'Dicka,Martinez L.,McTominay,84.09,0.0,0.0,84.09
29,A.C.TUA CUCS,3-4-3,Sommer,Kempf;Martin;Barbieri,Calhanoglu;Pulisic;Paz N.;McKennie,Martinez L.;Yildiz;Leao,Perin;Zaniolo;Valeri;Collocolo;Marcandalli;Ilkhan;Prati,Martinez L.,Calhanoglu,82.37,0.0,0.0,82.37
29,AC DENTI,3-4-3,Martinez Jo.,Terracciano F.;Cambiaso;Gosens,McTominay;Pulisic;Paz N.;McKennie,Martinez L.;Hojlund;Yildiz,Sommer;Orsolini;Politano;Meister;Karlstrom;Norton-Cuffy;Aebischer,Martinez L.,McTominay,82.45,0.0,0.0,82.45
29,Antibro,3-4-3,Svilar,Dimarco;Martin;Cambiaso,Pulisic;Paz N.;Vlasic;Malinovskyi,Martinez L.;Berardi;Pedro,Nava;Esposito Se.;Meister;Vasquez;Keita M.;Aebischer;Dodò,Martinez L.,Paz N.,82.77,0.0,0.0,82.77
29,BANDITI,3-4-3,De Gea,Martin;Norton-Cuffy;Valeri,Calhanoglu;Pulisic;Paz N.;Rabiot,Martinez L.;Douvikas;Soulè,Lezzerini;Bondo;Aebischer;Muharemovic;Prati;Canestrelli;Frese,Martinez L.,Soulè,79.52,0.0,0.0,79.52
29,BARAKALLAHOUFIK,4-3-3,Milinkovic-Savic V.,Palestra;Cambiaso;Gosens;Norton-Cuffy,Pulisic;Paz N.;Orsolini,Malen;Douvikas;Scamacca,Provedel;Kean;Rowe;Strefezza;Doig;Ilkhan;Bellanova,Malen,Pulisic,79.94,0.0,0.0,79.94
29,BOBONE32,3-4-3,De Gea,Pavlovic;Ramon;Norton-Cuffy,McTominay;Zielinski;Paz N.;Saelemaekers,Martinez L.;Berardi;Douvikas,Lezzerini;Leao;Aebischer;Zapata D.;Canestrelli;Tiago Gabriel;Gallo,Martinez L.,McTominay,81.55,0.0,0.0,81.55
29,BinuSpuntu,3-4-3,Martinez Jo.,Belghali;Terracciano F.;Valeri,McTominay;Paz N.;McKennie;Atta,Martinez L.;Hojlund;Solomon,Sommer;Saelemaekers;David;Da Cunha;Akinsanmiro;Van Der Brempt;Canestrelli,McKennie,Atta,80.4,0.0,0.0,80.4
29,Boiali,3-4-3,Maignan,Ramon;Vasquez;Delprato,McTominay;Paz N.;Zaniolo;Orsolini,Malen;Martinez L.;Douvikas,Terracciano;Kean;Zaccagni;Tramoni M.;Zerbin;Okereke;Ghilardi,Martinez L.,Paz N.,82.99,0.0,0.0,82.99
29,CISCO TEAM,3-4-3,Milinkovic-Savic V.,Bremer;Cambiaso;Norton-Cuffy,Pulisic;Paz N.;Mazzitelli;Pellegrini Lo.,Martinez L.;Berardi;Cancellieri,Terracciano;Ferguson E.;Valeri;Aebischer;Doig;Prati;Canestrelli,Martinez L.,Bremer,80.21,0.0,0.0,80.21
29,CLAN,3-4-3,Di Gregorio,Gutierrez;Wesley;Lazaro,McTominay;Baturina;Modric;Malinovskyi,Malen;Thuram;Hojlund,Perin;Solomon;Zalewski;Baldanzi;Bernardeschi;Zapata D.;Canestrelli,Hojlund,Malen,81.99,0.0,0.0,81.99
29,Collocolo Team,3-4-3,Martinez Jo.,Rrahmani;Belghali;Norton-Cuffy,McTominay;Pulisic;Baturina;Gudmundsson A.,Martinez L.;Leao;Pellegrino M.,Sommer;Kean;Basic;Valeri;N'Dicka;Doig;Joao Mario,Martinez L.,McTominay,80.83,0.0,0.0,80.83
29,Concali Craboni FC,3-4-3,Provedel,Dimarco;Palestra;Akanji,Zambo Anguissa;Pulisic;Paz N.;Barella,Douvikas;Bonazzoli;Moreo,Motta;Esposito Se.;David;Valle;Berisha M.;Baschirotto;Mina,Paz N.,Dimarco,83.32,0.0,0.0,83.32
29,CuginiDiCampagna,3-4-3,Carnesecchi,Ramon;Wesley;Muharemovic,Pulisic;Zaniolo;Orsolini;Strefezza,Martinez L.;Pinamonti;David,Sportiello;Kean;Collocolo;Adopo;Frese;Nicolussi Caviglia;Tiago Gabriel,Martinez L.,Orsolini,77.47,0.0,0.0,77.47
29,DEEDPULLY,3-4-3,Svilar,Dimarco;De Winter;Mina,Pulisic;Zaniolo;Orsolini;Loftus-Cheek,Berardi;Kilicsoy;Raspadori,Vasquez D. *;Esposito Se.;David;Iannoni;Zalewski;Muharemovic;Ilkhan,Orsolini,Zaniolo,80.35,0.0,0.0,80.35
29,DonBosko46,3-5-2,Martinez Jo.,Vojvoda;Cambiaso;Mancini,McTominay;Pulisic;Vergara;Orsolini;Saelemaekers,Martinez L.;Hojlund,Sommer;Vlahovic;Iannoni;Berisha M.;De Ketelaere;Bellanova;Tiago Gabriel,Martinez L.,Hojlund,80.59,0.0,0.0,80.59
29,Due Amici al Var,3-4-3,Di Gregorio,Wesley;Tomori;Lazaro,McTominay;Paz N.;Zaniolo;Orsolini,Malen;Martinez L.;David,Perin;Kean;Diouf;Dodò;Prati;Gineitis;Tiago Gabriel,Malen,Martinez L.,81.07,0.0,0.0,81.07
29,EquipoA,4-3-3,Milinkovic-Savic V.,Palestra;Rrahmani;Ramon;Dumfries,Pulisic;Paz N.;Orsolini,Malen;Martinez L.;Berardi,Martinez Jo.;Yildiz;Rodriguez Je.;Zaccagni;Zerbin;Zappacosta;Ilkhan,Pulisic,Orsolini,84.81,1.0,0.0,85.81
29,Evergreen,4-5-1,De Gea,Dimarco;Palestra;Ostigard;Buongiorno,Zielinski;Sucic P.;Politano;Iannoni;Gudmundsson A.,David,Lezzerini;Zalewski;Harroui;Ekhator;Hermoso;Kossounou;Ilkhan,David,Dimarco,76.4,1.0,0.0,77.4
29,F.C Pennic Hellas,3-4-3,Milinkovic-Savic V.,Dimarco;Valle;Norton-Cuffy,Zaniolo;Vlasic;Atta;Basic,Martinez L.;Hojlund;Esposito F.P.,Caprile;Giovane;David;Zaccagni;Ederson D.S.;Muharemovic;Dodò,Martinez L.,Dimarco,82.41,0.0,0.0,82.41
29,FC Buttarighe,3-4-3,Terracciano,Kalulu;Mina;Norton-Cuffy,McTominay;Pulisic;Zielinski;Paz N.,Malen;Martinez L.;Esposito F.P.,De Gea;Modric;Boga;Zalewski;Rodriguez Je.;Delprato;Dodò,Martinez L.,Malen,84.99,0.0,0.0,84.99
29,FC Galli,3-4-3,Svilar,Akanji;Kalulu;Juan Jesus,Pulisic;Zielinski;Malinovskyi;Basic,Martinez L.;Hojlund;Leao,Scuffet;Pedro;Pasalic;Folorunsho;Doig;Kristensen T.;Akpa Akpro,Martinez L.,Zielinski,81.21,0.0,0.0,81.21
29,FC Plasmon,3-4-3,Provedel,Dimarco;Martin;Cambiaso,Pulisic;Paz N.;Malinovskyi;Zerbin,Malen;Martinez L.;David,Perin;Kean;Miranda J.;Dodò;Akpa Akpro;Tiago Gabriel;Ndour,Martinez L.,Malen,82.69,0.0,0.0,82.69
29,FC Spiaze,3-5-2,Di Gregorio,Dimarco;Palestra;Beukema,Pulisic;Paz N.;Vergara;Iannoni;Leris,Martinez L.;Hojlund,Perin;Bernede;Rodriguez Je.;Ricci S.;De Ketelaere;Norton-Cuffy;Diouf,Martinez L.,Dimarco,83.03,0.0,0.0,83.03
29,Fc Cortomuso,3-4-3,Milinkovic-Savic V.,Palestra;Pavlovic;Martin,McTominay;Pulisic;Paz N.;Orsolini,Malen;Martinez L.;Leao,Meret;Malinovskyi;Kean;Dodò;Ilkhan;Bellanova;Tiago Gabriel,Martinez L.,Malen,85.28,0.0,0.0,85.28
29,Fc nipiri,4-3-3,Milinkovic-Savic V.,Di Lorenzo;Akanji;Solet;Scalvini,Paz N.;Orsolini;Thuram K.,Bonny;Berardi;David,Meret;Gosens;Karlstrom;Doig;Gineitis;Musah;Liteta,Paz N.,Orsolini,78.82,1.0,0.0,79.82
29,Giubbentus,3-4-3,Milinkovic-Savic V.,Norton-Cuffy;Obert;Smolcic I.,Pulisic;McKennie;Zaniolo;Zaccagni,Martinez L.;Scamacca;Vlahovic,Maignan;David;Folorunsho;Aebischer;Prati;Canestrelli;Akpa Akpro,Martinez L.,Scamacca,77.09,0.0,0.0,77.09
29,HeineKean,3-4-3,Svilar,Ramon;Cambiaso;Angori,McTominay;Vergara;Conceicao;Loftus-Cheek,Thuram;Hojlund;David,Vasquez D. *;Gudmundsson A.;Fagioli;Obert;Prati;Bellanova;Floriani Mussolini,Thuram,David,78.11,0.0,0.0,78.11
29,Hellas merdona,3-4-3,De Gea,Dumfries;Terracciano F.;Lazaro,Pulisic;Paz N.;Malinovskyi;Elmas,Malen;Martinez L.;Leao,Lezzerini;Kilicsoy;Bondo;Mancini;Norton-Cuffy;Marusic;Ilkhan,Martinez L.,Paz N.,80.07,0.0,0.0,80.07
29,I COMPARI,3-4-3,Caprile,Solet;Martin;Terracciano F.,McTominay;Pulisic;Baturina;Paz N.,Malen;Martinez L.;Leao,Scuffet;Vergara;Adzic;Soulè;Valeri;Dodò;Akpa Akpro,Martinez L.,McTominay,83.63,0.0,0.0,83.63
29,I Cigni,3-4-3,Martinez Jo.,Valle;Norton-Cuffy;Hermoso,Baturina;Vergara;Isaksen;Politano,Malen;Martinez L.;Berardi,Sommer;Tramoni M.;Folorunsho;Valeri;Rowe;Dodò;Doig,Martinez L.,Malen,81.01,0.0,0.0,81.01
29,ISGOPPAISI2,3-4-3,Milinkovic-Savic V.,Rrahmani;Kalulu;Vojvoda,Calhanoglu;McTominay;Paz N.;Gudmundsson A.,Bonny;Scamacca;Soulè,Svilar;David;Kean;Dodò;Adopo;Lucumì;Akpa Akpro,Scamacca,Soulè,80.7,0.0,0.0,80.7
29,Imperatori del culo,3-4-3,Maignan,Bastoni;Ostigard;Cambiaso,Pulisic;Vergara;Orsolini;Gudmundsson A.,Malen;Martinez L.;David,Terracciano;Kean;Tramoni M.;Adopo;Akpa Akpro;Bellanova;Tiago Gabriel,Martinez L.,Orsolini,81.69,0.0,0.0,81.69
29,Ipa Bali,3-4-3,Maignan,Ramon;Ostigard;Martin,McTominay;Pulisic;Paz N.;Vergara,Malen;Martinez L.;Berardi,Terracciano;Malinovskyi;Meister;Luperto;Frattesi;Bianchetti;Doig,Martinez L.,Berardi,85.61,0.0,0.0,85.61
29,KARABE 1975,3-4-3,Pessina Mas.,Pavlovic;Idrissi R.;Valeri,Zielinski;Baturina;Thorstvedt;Gudmundsson A.,Hojlund;Scamacca;Esposito Se.,Skorupski;Kean;Colombo;Karlstrom;Ederson D.S.;Zappacosta;Marusic,Hojlund,Scamacca,76.9,0.0,0.0,76.9
29,Kung-Fu Pandev,3-4-3,Martinez Jo.,Wesley;Norton-Cuffy;Doig,Paz N.;McKennie;Vlasic;Conceicao,Hojlund;Soulè;David,Sommer;Politano;Kean;Bowie;Zaragoza;Tiago Gabriel;Pezzella Giu.,Hojlund,Soulè,75.93,0.0,0.0,75.93
29,LE 4 M,3-5-2,Di Gregorio,Palestra;Dumfries;Solet,Pulisic;Zielinski;Paz N.;McKennie;Zaniolo,Martinez L.;Hojlund,Perin;Kean;Martin;Okereke;Delprato;Prati;Joao Mario,McKennie,Martinez L.,82.78,0.0,0.0,82.78
29,LEONE,4-3-3,Milinkovic-Savic V.,Bremer;Bisseck;Kempf;Pavlovic,Paz N.;Atta;Saelemaekers,Berardi;Davis K.;Kilicsoy,Meret;Simeone;Wesley;Tramoni M.;Cambiaso;Ederson D.S.;Aebischer,Bremer,Pavlovic,81.23,1.0,0.0,82.23
29,Leonte FC,3-4-3,Di Gregorio,Bremer;Bastoni;Pavlovic,McTominay;Pulisic;Vergara;Basic,Martinez L.;Leao;Soulè,Perin;Cancellieri;Dodò;Canestrelli;Vranckx;Ndour;Estevez,Martinez L.,Bastoni,81.58,0.0,0.0,81.58
29,Lions,3-4-3,Di Gregorio,Cambiaso;Gosens;Van Der Brempt,McTominay;Pulisic;Paz N.;Loftus-Cheek,Thuram;Douvikas;Cancellieri,Perin;Pasalic;Okereke;Kristensen T.;Provstgaard;Prati;Bellanova,McTominay,Gosens,78.07,0.0,0.0,78.07
29,Longobarda,3-4-3,Maignan,Akanji;Cambiaso;Vasquez,McTominay;Paz N.;Vergara;Konè M.,Berardi;Solomon;Soulè,Terracciano;Kean;Bondo;Dybala;Baldanzi;Dodò;Marin M.,Cambiaso,McTominay,77.9,0.0,0.0,77.9
