round,fantateam,module,portiere,difensori,centrocampisti,attaccanti,panchina,capitano,vice_capitano,base_total,mod_difesa,mod_capitano,predicted_total
27,I COMPARI,3-4-3,Caprile,Solet;Valeri;Terracciano F.,Pulisic;Baturina;Paz N.;McTominay,Malen;Martinez L.;Leao,Scuffet;Soulè;Vergara;Adzic;Zaragoza;Bellanova;Martin,Martinez L.,McTominay,86.32,0.0,0.0,86.32
27,I Cigni,3-4-3,Martinez Jo.,Valle;Hermoso;Valeri,Baturina;Isaksen;Vergara;Politano,Malen;Martinez L.;Berardi,Sommer;Tramoni M.;Rowe;Almqvist;Doig;Folorunsho;Dodò,Martinez L.,Malen,83.0,0.0,0.0,83.0
27,ISGOPPAISI2,3-4-3,Milinkovic-Savic V.,Vojvoda;Kalulu;Rrahmani,Calhanoglu;Paz N.;McTominay;Gudmundsson A.,Bonny;Soulè;Scamacca,Svilar;Kean;David;Lucumì;Dodò;Maldini;Adopo,Scamacca,Soulè,82.9,0.0,0.0,82.9
27,Imperatori del culo,3-4-3,Maignan,Bastoni;Cambiaso;Ostigard,Pulisic;Orsolini;Vergara;Gudmundsson A.,Malen;Martinez L.;Kean,Terracciano;Tramoni M.;David;Bellanova;Vitik;Adopo;Tiago Gabriel,Martinez L.,Orsolini,83.39,0.0,0.0,83.39
27,Ipa Bali,3-4-3,Maignan,Ramon;Luperto;Ostigard,Pulisic;Paz N.;McTominay;Vergara,Malen;Martinez L.;Berardi,Terracciano;Frattesi;Malinovskyi;Meister;Zaragoza;Martin;Doig,Martinez L.,Berardi,86.65,0.0,0.0,86.65
27,KARABE 1975,3-4-3,Pessina Mas.,Pavlovic;Idrissi R.;Zappacosta,Zielinski;Baturina;Gudmundsson A.;Karlstrom,Hojlund;Scamacca;Kean,Skorupski;Esposito Se.;Thorstvedt;Ederson D.S.;Valeri;Colombo;Marusic,Hojlund,Scamacca,78.3,0.0,0.0,78.3
27,Kung-Fu Pandev,3-4-3,Martinez Jo.,Wesley;Doig;Tiago Gabriel,Paz N.;Vlasic;McKennie;Politano,Hojlund;Soulè;Kean,Sommer;Conceicao;Zaragoza;David;Bowie;Maldini;Norton-Cuffy,Hojlund,Soulè,75.58,0.0,0.0,75.58
27,LE 4 M,3-4-3,Di Gregorio,Palestra;Solet;Dumfries,Zielinski;Pulisic;Paz N.;Zaniolo,Martinez L.;Hojlund;Kean,Perin;McKennie;Delprato;Martin;Prati;Ndour;Okereke,Pulisic,Martinez L.,84.41,0.0,0.0,84.41
27,LEONE,4-3-3,Milinkovic-Savic V.,Kempf;Bremer;Bisseck;Pavlovic,Paz N.;Atta;Saelemaekers,Davis K.;Berardi;Simeone,Meret;Kilicsoy;Wesley;Ederson D.S.;Tramoni M.;Cambiaso;Aebischer,Bremer,Pavlovic,82.47,1.0,0.0,83.47
27,Leonte FC,3-4-3,Di Gregorio,Bremer;Bastoni;Pavlovic,Pulisic;McTominay;Vergara;Basic,Martinez L.;Leao;Soulè,Perin;Cancellieri;Djimsiti;Estevez;Dodò;Canestrelli;Ndour,Martinez L.,Bastoni,83.09,0.0,0.0,83.09
