round,position,fantateam,predicted_total
35,30,AC DENTI,83.71
35,31,Peaky Tunas,83.66
35,32,Pi-Ciaccio,83.66
35,33,LEONE,83.59
35,34,coach 71,83.35
35,35,pacho team,83.24
35,36,Leonte FC,83.2
35,37,Sisal Palace,83.19
35,38,CISCO TEAM,83.15
35,39,Hellas merdona,83.14
35,40,Antibro,83.07
35,41,F.C Pennic Hellas,83.05
35,42,CLAN,82.96
35,43,FC Spiaze,82.85
35,44,FC Galli,82.84
35,45,Mapoitta,82.51
35,46,ISGOPPAISI2,82.29
35,47,SerSi-FC,82.14
35,48,I Cigni,82.1
35,49,Pro secco,82.04
35,50,BANDITI,81.97
35,51,SAGATU,81.87
35,52,DonBosko46,81.84
35,53,ROCKY 3,81.72
35,54,real donk,81.64
35,55,CuginiDiCampagna,81.59
35,56,OnlyFans,81.32
35,57,mezzebirre,81.22
35,58,SMOG,81.19
35,59,PEAKY BLINDERS,81.1
35,60,i fratelli merda,81.1
35,61,SILVEDO,80.96
35,62,Fc nipiri,80.95
35,63,BOBONE32,80.94
35,64,Giubbentus,80.74
35,65,kalashnikov,80.7
35,66,Malmö FF,80.49
35,67,i bro,80.33
35,68,BinuSpuntu,80.21
35,69,Lions,80.08
35,70,SPERA EBBASTA,80.04
35,71,ProPro Proibito,79.84
35,72,Riccardigno,79.63
35,73,Collocolo Team,79.49
35,74,Piovra73,79.28
35,75,SPOSTATI,79.22
35,76,Longobarda,79.14
35,77,buttiglia25,78.98
35,78,puerto rosso blu,78.86
35,79,Evergreen,78.69
35,80,Kung-Fu Pandev,78.63
35,81,Sciabolata Classica,78.4
35,82,KARABE 1975,77.93
35,83,HeineKean,77.89
35,84,lagg,77.73
36,1,Temptation Haaland,87.23
36,2,SPARROW,86.52
36,3,Fc Cortomuso,86.05
36,4,Ipa Bali,85.24
36,5,FC Buttarighe,85.08
36,6,TomMat-iga,84.94
36,7,Non troppo cattivi,84.84
36,8,I COMPARI,84.81
36,9,EquipoA,84.8
36,10,Tana delle Tigri,84.74
36,11,Nastro Azzurro,84.68
36,12,MARCIO TEAM,84.52
36,13,Lunarossa,84.38
36,14,XLiverpuh,84.07
36,15,Concali Craboni FC,84.06
36,16,FC Plasmon,83.72
36,17,Pro secco,83.37
36,18,Imperatori del culo,83.22
36,19,Leonte FC,83.13
36,20,Antibro,83.1
36,21,FC Spiaze,82.81
36,22,LosPollosHermanos,82.75
36,23,SerSi-FC,82.74
36,24,Boiali,82.59
36,25,CLAN,82.58
36,26,Pi-Ciaccio,82.5
36,27,AC DENTI,82.48
36,28,Scarzooka,82.46
36,29,LEONE,82.4
36,30,LE 4 M,82.37
36,31,Collocolo Team,82.27
36,32,Due Amici al Var,81.89
36,33,A.C.TUA CUCS,81.88
36,34,SPOSTATI,81.83
36,35,DEEDPULLY,81.8
36,36,coach 71,81.78
36,37,BARAKALLAHOUFIK,81.73
36,38,DonBosko46,81.68
36,39,Hellas merdona,81.64
36,40,SPERA EBBASTA,81.63
36,41,FC Galli,81.57
36,42,Real Mellandro,81.54
36,43,scarsenal,81.39
36,44,Peaky Tunas,81.16
36,45,CISCO TEAM,81.06
36,46,pacho team,81.04
36,47,I Cigni,81.01
36,48,ISGOPPAISI2,80.85
36,49,OnlyFans,80.82
36,50,Riccardigno,80.81
36,51,BOBONE32,80.67
36,52,kalashnikov,80.66
36,53,BinuSpuntu,80.58
36,54,Plu-Team,80.57
36,55,ROCKY 3,80.49
36,56,mezzebirre,80.41
36,57,Piovra73,80.37
36,58,F.C Pennic Hellas,80.19
36,59,PEAKY BLINDERS,80.07
36,60,i bro,79.95
36,61,ProPro Proibito,79.93
36,62,SAGATU,79.93
36,63,SMOG,79.89
36,64,puerto rosso blu,79.83
36,65,buttiglia25,79.79
36,66,Sciabolata Classica,79.61
36,67,BANDITI,79.56
36,68,Sisal Palace,79.46
36,69,Longobarda,79.44
36,70,Malmö FF,79.34
36,71,Lions,79.13
36,72,Mapoitta,79.01
36,73,HeineKean,78.84
36,74,real donk,78.68
36,75,i fratelli merda,78.53
36,76,Sarzanello Team,78.23
36,77,KARABE 1975,78.19
36,78,CuginiDiCampagna,77.93
36,79,SILVEDO,77.91
36,80,Kung-Fu Pandev,77.4
36,81,Evergreen,76.29
36,82,Fc nipiri,76.28
36,83,Giubbentus,76.24
36,84,lagg,75.78
37,1,SPARROW,90.98
37,2,Temptation Haaland,90.11
37,3,EquipoA,89.16
37,4,FC Buttarighe,89.09
37,5,XLiverpuh,88.72
37,6,LosPollosHermanos,88.16
37,7,Tana delle Tigri,88.11
37,8,TomMat-iga,88.09
37,9,Fc Cortomuso,87.8
37,10,Non troppo cattivi,87.75
37,11,Ipa Bali,87.72
37,12,Scarzooka,87.42
37,13,I COMPARI,87.1
37,14,MARCIO TEAM,87.05
37,15,Nastro Azzurro,86.86
37,16,Lunarossa,86.67
37,17,FC Plasmon,86.66
37,18,A.C.TUA CUCS,86.37
37,19,LE 4 M,86.37
37,20,scarsenal,85.9
37,21,Boiali,85.84
37,22,Concali Craboni FC,85.81
37,23,Antibro,85.44
37,24,LEONE,85.44
37,25,Plu-Team,85.43
37,26,pacho team,85.19
37,27,FC Spiaze,85.1
37,28,Real Mellandro,85.02
37,29,Pi-Ciaccio,84.97
37,30,Peaky Tunas,84.91
37,31,AC DENTI,84.76
37,32,DEEDPULLY,84.72
37,33,FC Galli,84.71
37,34,Leonte FC,84.7
37,35,F.C Pennic Hellas,84.57
37,36,Sarzanello Team,84.54
37,37,Imperatori del culo,84.35
37,38,CISCO TEAM,84.32
37,39,CLAN,84.22
37,40,Due Amici al Var,84.2
37,41,SerSi-FC,84.07
37,42,ISGOPPAISI2,83.98
37,43,Pro secco,83.97
37,44,ROCKY 3,83.92
37,45,Hellas merdona,83.91
37,46,coach 71,83.83
37,47,BARAKALLAHOUFIK,83.71
37,48,I Cigni,83.63
37,49,Sisal Palace,83.6
37,50,Mapoitta,83.5
37,51,OnlyFans,83.3
37,52,BOBONE32,83.29
37,53,i fratelli merda,82.99
37,54,BANDITI,82.93
37,55,real donk,82.81
37,56,DonBosko46,82.74
37,57,SPOSTATI,82.63
37,58,Fc nipiri,82.45
37,59,Malmö FF,82.42
37,60,SMOG,82.42
37,61,i bro,82.41
37,62,ProPro Proibito,82.24
37,63,SAGATU,82.19
37,64,SPERA EBBASTA,82.02
37,65,PEAKY BLINDERS,81.97
37,66,puerto rosso blu,81.8
37,67,BinuSpuntu,81.56
37,68,Giubbentus,81.35
37,69,SILVEDO,81.3
37,70,Collocolo Team,81.29
37,71,CuginiDiCampagna,81.27
37,72,Lions,81.2
37,73,mezzebirre,81.16
37,74,Riccardigno,80.99
37,75,kalashnikov,80.97
37,76,Piovra73,80.88
37,77,buttiglia25,80.86
37,78,Sciabolata Classica,80.24
37,79,HeineKean,80.2
37,80,KARABE 1975,80.06
37,81,Evergreen,79.72
37,82,Longobarda,79.52
37,83,Kung-Fu Pandev,79.06
37,84,lagg,78.13
38,1,Temptation Haaland,87.85
38,2,Fc Cortomuso,87.7
38,3,Non troppo cattivi,87.27
38,4,SPARROW,86.64
38,5,TomMat-iga,86.62
38,6,Ipa Bali,86.53
38,7,FC Buttarighe,86.48
38,8,I COMPARI,85.59
38,9,EquipoA,85.4
38,10,Nastro Azzurro,85.37
38,11,Tana delle Tigri,85.18
38,12,FC Plasmon,85.08
38,13,Lunarossa,85.0
38,14,Leonte FC,84.88
38,15,MARCIO TEAM,84.82
38,16,LosPollosHermanos,84.61
38,17,Imperatori del culo,84.12
38,18,Scarzooka,84.12
38,19,XLiverpuh,83.95
38,20,CLAN,83.68
38,21,A.C.TUA CUCS,83.63
38,22,scarsenal,83.53
38,23,FC Spiaze,83.47
38,24,Boiali,83.41
38,25,SerSi-FC,83.35
38,26,Collocolo Team,83.28
38,27,AC DENTI,83.22
38,28,Real Mellandro,83.21
38,29,Pro secco,83.17
38,30,FC Galli,83.13
38,31,DonBosko46,83.12
38,32,Concali Craboni FC,82.67
38,33,Plu-Team,82.54
38,34,Hellas merdona,82.53
38,35,Antibro,82.5
38,36,SPOSTATI,82.4
38,37,Due Amici al Var,82.34
38,38,LE 4 M,82.09
38,39,coach 71,81.98
38,40,Pi-Ciaccio,81.96
38,41,BARAKALLAHOUFIK,81.9
38,42,I Cigni,81.78
38,43,SPERA EBBASTA,81.77
38,44,BOBONE32,81.75
38,45,Peaky Tunas,81.71
38,46,mezzebirre,81.7
38,47,pacho team,81.31
38,48,DEEDPULLY,81.3
38,49,OnlyFans,81.17
38,50,BANDITI,81.15
38,51,ISGOPPAISI2,81.15
38,52,i bro,81.1
38,53,PEAKY BLINDERS,81.07
38,54,buttiglia25,81.02
38,55,BinuSpuntu,80.83
38,56,F.C Pennic Hellas,80.62
38,57,Sisal Palace,80.62
38,58,ROCKY 3,80.46
38,59,CISCO TEAM,80.42
38,60,Lions,80.38
38,61,LEONE,80.16
38,62,kalashnikov,80.1
38,63,Malmö FF,80.04
38,64,Mapoitta,79.97
38,65,Piovra73,79.85
38,66,real donk,79.72
38,67,i fratelli merda,79.65
38,68,HeineKean,79.57
38,69,puerto rosso blu,79.51
38,70,Sciabolata Classica,79.47
38,71,SAGATU,79.32
38,72,Sarzanello Team,79.22
38,73,Riccardigno,79.1
38,74,CuginiDiCampagna,78.82
38,75,Longobarda,78.82
38,76,Giubbentus,78.54
38,77,ProPro Proibito,78.51
38,78,Fc nipiri,78.15
38,79,SMOG,78.05
38,80,KARABE 1975,77.98
38,81,Kung-Fu Pandev,77.59
38,82,SILVEDO,76.69
38,83,lagg,76.62
38,84,Evergreen,76.58
