round,position,fantateam,predicted_total
27,9,XLiverpuh,86.56
27,10,Non troppo cattivi,86.5
27,11,Boiali,86.35
27,12,I COMPARI,86.32
27,13,Scarzooka,86.23
27,14,LosPollosHermanos,86.08
27,15,MARCIO TEAM,85.93
27,16,Nastro Azzurro,85.44
27,17,FC Plasmon,85.3
27,18,Lunarossa,84.52
27,19,LE 4 M,84.41
27,20,Concali Craboni FC,84.26
27,21,Plu-Team,84.15
27,22,Pro secco,84.13
27,23,scarsenal,84.1
27,24,Real Mellandro,84.01
27,25,A.C.TUA CUCS,83.97
27,26,F.C Pennic Hellas,83.9
27,27,Due Amici al Var,83.78
27,28,FC Spiaze,83.54
27,29,LEONE,83.47
27,30,Imperatori del culo,83.39
27,31,Pi-Ciaccio,83.29
27,32,CLAN,83.24
27,33,Leonte FC,83.09
27,34,I Cigni,83.0
27,35,SerSi-FC,82.91
27,36,ISGOPPAISI2,82.9
27,37,coach 71,82.85
27,38,BOBONE32,82.84
27,39,BARAKALLAHOUFIK,82.74
27,40,pacho team,82.71
27,41,Antibro,82.59
27,42,Collocolo Team,82.37
27,43,Sarzanello Team,82.37
27,44,FC Galli,82.28
27,45,ROCKY 3,82.28
27,46,BANDITI,82.27
27,47,Peaky Tunas,82.19
27,48,CISCO TEAM,82.03
27,49,Hellas merdona,81.91
27,50,DEEDPULLY,81.66
27,51,AC DENTI,81.62
27,52,SPOSTATI,81.62
27,53,SPERA EBBASTA,81.43
27,54,OnlyFans,81.38
27,55,DonBosko46,81.3
27,56,Malmö FF,80.98
27,57,Mapoitta,80.92
27,58,BinuSpuntu,80.77
27,59,i bro,80.57
27,60,Riccardigno,80.52
27,61,mezzebirre,80.43
27,62,Sisal Palace,80.42
27,63,puerto rosso blu,80.4
27,64,i fratelli merda,80.38
27,65,ProPro Proibito,80.32
27,66,kalashnikov,80.27
27,67,PEAKY BLINDERS,80.22
27,68,Fc nipiri,80.02
27,69,CuginiDiCampagna,79.94
27,70,SMOG,79.89
27,71,Lions,79.81
27,72,SILVEDO,79.77
27,73,Piovra73,79.76
27,74,SAGATU,79.65
27,75,real donk,78.99
27,76,Sciabolata Classica,78.88
27,77,Longobarda,78.62
27,78,buttiglia25,78.59
27,79,KARABE 1975,78.3
27,80,Giubbentus,77.68
27,81,HeineKean,77.48
27,82,Evergreen,76.96
27,83,Kung-Fu Pandev,75.58
27,84,lagg,75.02
28,1,Temptation Haaland,87.08
28,2,Fc Cortomuso,86.9
28,3,TomMat-iga,86.45
28,4,SPARROW,86.38
28,5,LosPollosHermanos,85.94
28,6,EquipoA,85.83
28,7,MARCIO TEAM,85.64
28,8,Non troppo cattivi,85.29
28,9,FC Buttarighe,85.08
28,10,Ipa Bali,84.99
28,11,FC Plasmon,84.98
28,12,BARAKALLAHOUFIK,84.74
28,13,AC DENTI,84.7
28,14,Nastro Azzurro,84.7
28,15,Lunarossa,84.49
28,16,I COMPARI,84.41
28,17,Imperatori del culo,84.19
28,18,scarsenal,84.09
28,19,SerSi-FC,83.95
28,20,Tana delle Tigri,83.93
28,21,CLAN,83.76
28,22,Leonte FC,83.61
28,23,FC Spiaze,83.55
28,24,XLiverpuh,83.44
28,25,Real Mellandro,83.23
28,26,Scarzooka,83.09
28,27,Due Amici al Var,83.06
28,28,Pro secco,82.99
28,29,DonBosko46,82.8
28,30,Boiali,82.79
28,31,A.C.TUA CUCS,82.78
28,32,Concali Craboni FC,82.52
28,33,DEEDPULLY,82.38
28,34,LE 4 M,82.36
28,35,pacho team,82.22
28,36,FC Galli,82.14
28,37,i bro,82.04
28,38,kalashnikov,82.04
28,39,Pi-Ciaccio,81.91
28,40,coach 71,81.73
28,41,ISGOPPAISI2,81.62
28,42,SPOSTATI,81.54
28,43,Collocolo Team,81.15
28,44,mezzebirre,81.15
28,45,Mapoitta,81.09
28,46,Hellas merdona,81.06
28,47,Plu-Team,81.04
28,48,OnlyFans,81.02
28,49,Sisal Palace,81.02
28,50,buttiglia25,81.02
28,51,Peaky Tunas,80.85
28,52,Antibro,80.84
28,53,PEAKY BLINDERS,80.83
28,54,Piovra73,80.66
