nome,R,RM,club,QA,QI,Delta,FVM,missing
Lordkipanidze *,,,,0.0,0,0,0,1
Lorran,C,T,Pisa,6.0,7,-1,13,0
Lovik *,D,,Parma,2.0,0,0,0,1
Lovric,C,C,Udinese,3.0,9,-6,8,0
Loyola,C,M;C,Pisa,7.0,7,0,18,0
Lucca *,A,Pc,Napoli,5.0,15,-10,11,1
Lucumì,D,Dc,Bologna,7.0,8,-1,12,0
Luis Henrique,C,E;W,Inter,6.0,7,-1,15,0
Lukaku,A,Pc,Napoli,15.0,31,-16,60,0
Luperto,D,Dc,Cagliari,9.0,7,2,12,0
Luvumbo,A,A,Cagliari,4.0,12,-8,10,0
Lykogiannis,D,Ds;E,Bologna,2.0,5,-3,10,0
Maignan,P,Por,Milan,20.0,16,4,85,0
Maldini,C,T;A,Atalanta,3.0,9,-6,11,0
Maleh,C,M;C,Lecce,4.0,6,-2,6,0
Malen,A,A,Roma,15.0,14,1,67,0
Malinovskyi,C,C;T,Genoa,12.0,8,4,37,0
Mancini,D,Dc,Roma,10.0,11,-1,36,0
Mandas,P,Por,Lazio,1.0,3,-2,1,0
Mandragora,C,M;C,Fiorentina,19.0,14,5,85,0
Marcandalli,D,Dc,Genoa,6.0,3,3,10,0
Marchwinski,C,T,Lecce,1.0,1,0,2,0
Marianucci,D,Dc,Napoli,2.0,3,-1,8,0
Marin M.,C,M;C,Pisa,5.0,6,-1,11,0
Maripan,D,Dc,Torino,11.0,7,4,26,0
Martin,D,Ds;E,Genoa,14.0,10,4,33,0
Martinelli T. *,P,,Fiorentina,1.0,0,0,0,1
Martinez Jo.,P,Por,Inter,1.0,2,-1,1,0
Martinez L.,A,Pc,Inter,34.0,34,0,360,0
Marusic,D,Dd;Ds;E,Lazio,7.0,8,-1,15,0
Masina,D,B;Ds;E,Torino,2.0,3,-1,8,0
Masini,C,M;C,Genoa,5.0,5,0,10,0
Mateus Lusuardi,D,Dc,Pisa,2.0,4,-2,5,0
Matic,C,M;C,Sassuolo,10.0,4,6,18,0
Mazzitelli,C,M;C,Cagliari,10.0,5,5,17,0
Mazzocchi,D,Dd;Ds;E,Napoli,3.0,3,0,3,0
Mbambi *,D,,Pisa,1.0,0,0,0,1
McKennie,C,M;C,Juventus,14.0,10,4,32,0
McTominay,C,C;T,Napoli,25.0,26,-1,213,0
Mckennie *,C,M;C,Juventus,14.0,10,0,32,1
Mctominay *,C,C;T,Napoli,25.0,26,0,213,1
Meister,A,Pc,Pisa,8.0,2,6,14,0
Meret,P,Por,Napoli,8.0,16,-8,10,0
Messias,C,C;W,Genoa,2.0,8,-6,10,0
Milik,A,Pc,Juventus,1.0,1,0,5,0
Milinkovic-Savic V.,P,Por,Napoli,19.0,4,15,54,0
Miller L.,C,M;C,Udinese,3.0,3,0,10,0
Mina,D,Dc,Cagliari,8.0,7,1,14,0
Miranda J.,D,Ds;E,Bologna,11.0,9,2,16,0
Miretti,C,C;T,Juventus,9.0,5,4,28,0
Mkhitaryan,C,C;T,Inter,7.0,9,-2,15,0
Modric,C,C,Milan,19.0,12,7,73,0
Montipò,P,Por,Verona,9.0,5,4,5,0
Morata,A,Pc,Como,4.0,18,-14,12,0
Moreno Alb.,D,Ds;E,Como,9.0,3,6,8,0
Moreo,A,A,Pisa,15.0,5,10,14,0
Moro L.,A,Pc,Sassuolo,1.0,1,0,1,0
Moro N.,C,M;C,Bologna,8.0,3,5,11,0
Mosquera,A,Pc,Verona,8.0,6,2,10,0
Moumbagna,A,Pc,Cremonese,2.0,6,-4,9,0
Muharemovic,D,Dc,Sassuolo,7.0,5,2,19,0
Munoz *,,,,0.0,0,0,0,1
Muric,P,Por,Sassuolo,11.0,3,8,12,0
Musah,C,C;W,Atalanta,5.0,6,-1,11,0
N'Dicka,D,Dc,Roma,7.0,10,-3,28,0
N'Dri,A,W;A,Lecce,10.0,5,5,10,0
Nava,P,Por,Cremonese,1.0,1,0,1,0
Ndaba,D,Ds;E,Lecce,3.0,1,2,8,0
Ndiaye,D,Dc,Parma,1.0,4,-3,8,0
Ndour,C,M;C,Fiorentina,6.0,2,4,14,0
Nelsson,D,Dc,Verona,4.0,5,-1,17,0
Neres,C,W;A,Napoli,17.0,13,4,64,0
Ngom,C,M;C,Lecce,1.0,1,0,1,0
Ngonge,A,A,Torino,9.0,9,0,11,0
Niasse,C,M;C,Verona,4.0,3,1,10,0
Nicolas,P,Por,Pisa,1.0,1,0,1,0
Nicolussi Caviglia,C,M;C,Fiorentina,3.0,9,-6,10,0
Njie,A,A,Torino,6.0,1,5,4,0
Nkounkou,D,Ds;E,Torino,2.0,3,-1,8,0
Nkunku,A,A,Milan,17.0,20,-3,28,0
Norton-Cuffy,D,Dd;E,Genoa,7.0,3,4,17,0
Noslin,A,A,Lazio,11.0,7,4,13,0
Nunziante,P,Por,Udinese,1.0,1,0,1,0
Nzola,A,Pc,Pisa,12.0,12,0,12,0
Obert,D,Ds;Dc,Cagliari,5.0,4,1,11,0
Obrador,D,Ds;E,Torino,6.0,6,0,15,0
Odenthal,D,Dc,Sassuolo,1.0,3,-2,7,0
Odgaard,C,T;A,Bologna,18.0,16,2,34,0
Odogu,D,Dc,Milan,1.0,2,-1,5,0
Okereke,A,A,Cremonese,1.0,5,-4,3,0
Okoye,P,Por,Udinese,10.0,6,4,9,0
Olivera,D,Ds;E,Napoli,3.0,10,-7,9,0
Onana J.,C,M;C,Genoa,2.0,2,0,4,0
Ondrejka,C,W;A,Parma,5.0,13,-8,18,0
Openda,A,Pc,Juventus,10.0,22,-12,20,0
Orban G.,A,Pc,Verona,20.0,15,5,35,0
Ordonez C.,C,M;C,Parma,2.0,5,-3,10,0
Oristanio,C,W;T;A,Parma,4.0,12,-8,12,0
Orsolini,C,W;A,Bologna,24.0,30,-6,226,0
Ostigard,D,Dc,Genoa,15.0,5,10,28,0
Otoa,D,Dc,Genoa,3.0,2,1,9,0
Oyegoke,D,B;Dd;E,Verona,1.0,2,-1,4,0
Padelli,P,Por,Udinese,4.0,1,3,1,0
Pafundi *,C,,Udinese,1.0,0,0,0,1
Palacios T.,D,Dc,Inter,1.0,1,0,1,0
Paleari,P,Por,Torino,11.0,1,10,10,0
Palestra,D,E,Cagliari,15.0,3,12,44,0
Palma *,D,,Udinese,2.0,0,0,0,1
Parisi,D,E,Fiorentina,7.0,5,2,18,0
Pasalic,C,C;T,Atalanta,13.0,9,4,23,0
Patric,D,Dd;Dc,Lazio,1.0,4,-3,5,0
Pavlovic,D,Dc,Milan,15.0,7,8,35,0
Pavoletti,A,Pc,Cagliari,1.0,1,0,3,0
Payero,C,C,Cremonese,8.0,4,4,8,0
Paz N.,C,T;A,Como,30.0,20,10,275,0
Paz Y.,D,Dd;E,Sassuolo,1.0,1,0,3,0
Pedersen,D,Dd;E,Torino,5.0,4,1,11,0
Pedro,A,A,Lazio,7.0,13,-6,16,0
Pellegrini Lo.,C,C;T,Roma,14.0,11,3,25,0
Pellegrini Lu.,D,Ds;E,Lazio,5.0,3,2,11,0
Pellegrino M.,A,Pc,Parma,21.0,13,8,84,0
Penev *,,,,0.0,0,0,0,1
Perciun *,,,,0.0,0,0,0,1
Perez M.,D,Dd;Dc,Lecce,1.0,1,0,2,0
Perilli,P,Por,Verona,3.0,1,2,3,0
Perin,P,Por,Juventus,3.0,1,2,1,0
Perrone,C,M;C,Como,16.0,8,8,40,0
Pessina Mas.,P,Por,Bologna,1.0,1,0,1,0
Pezzella Giu.,D,Ds;E,Cremonese,4.0,5,-1,11,0
Piccinini G.,C,E;M,Pisa,5.0,6,-1,12,0
Piccoli,A,Pc,Fiorentina,9.0,17,-8,16,0
Pieragnolo,D,Ds;E,Sassuolo,1.0,2,-1,3,0
Pierini,A,A,Sassuolo,2.0,5,-3,8,0
Pierotti,C,W;A,Lecce,6.0,10,-4,14,0
Pierret,C,M;C,Lecce,1.0,6,-5,9,0
Pinamonti,A,Pc,Sassuolo,14.0,16,-2,62,0
Pinsoglio,P,Por,Juventus,1.0,1,0,1,0
Pintus *,,,,0.0,0,0,0,1
Piotrowski,C,C,Udinese,8.0,6,2,14,0
Pisilli,C,C,Roma,6.0,7,-1,16,0
Pobega,C,M;C,Bologna,11.0,8,3,15,0
