nome,R,RM,club,QA,QI,Delta,FVM,missing
Van Der Brempt,D,Dd;E,Como,3.0,4,-1,8,0
Vandeputte,C,W;T,Cremonese,13.0,12,1,27,0
Vardy,A,Pc,Cremonese,20.0,15,5,58,0
Vasquez,D,Ds;Dc,Genoa,10.0,9,1,23,0
Vasquez D.,P,Por,Roma,1.0,1,0,1,0
Vaz,A,Pc,Roma,10.0,10,0,23,0
Vazquez,C,T;A,Cremonese,14.0,10,4,14,0
Vecino,C,M;C,Lazio,6.0,6,0,13,0
Veiga D.,D,Dd;E,Lecce,5.0,1,4,13,0
Venturino,C,W,Roma,1.0,3,-2,10,0
Vergara,C,W;T,Napoli,2.0,1,1,5,0
Vigorito,P,Por,Como,1.0,1,0,1,0
Vinciguerra *,,,,0.0,0,0,0,1
Vitik,D,Dc,Bologna,4.0,8,-4,13,0
Vitinha O.,A,Pc,Genoa,11.0,12,-1,27,0
Vlahovic,A,Pc,Juventus,15.0,24,-9,55,0
Vlasic,C,T,Torino,18.0,15,3,85,0
Vojvoda,D,Dd;E,Como,12.0,6,6,11,0
Volpato,C,W;T,Sassuolo,13.0,5,8,16,0
Vranckx,C,M;C,Sassuolo,3.0,4,-1,10,0
Vural,C,C,Pisa,2.0,3,-1,6,0
Walukiewicz,D,Dd;Dc,Sassuolo,6.0,5,1,13,0
Wesley,D,E,Roma,16.0,14,2,60,0
Yildiz,A,A,Juventus,30.0,24,6,213,0
Zaccagni,C,W;A,Lazio,14.0,26,-12,92,0
Zacchi *,,,,0.0,0,0,0,1
Zalewski,C,E;W,Atalanta,15.0,6,9,20,0
Zambo Anguissa,C,M;C,Napoli,19.0,15,4,71,0
Zaniolo,C,T;A,Udinese,20.0,11,9,80,0
Zanoli,D,Dd;E,Udinese,9.0,3,6,20,0
Zapata D.,A,Pc,Torino,7.0,20,-13,14,0
Zappa,D,B;Dd;E,Cagliari,7.0,6,1,12,0
Zappacosta,D,E,Atalanta,8.0,13,-5,20,0
Zarraga,C,M;C,Udinese,2.0,2,0,6,0
Zatterstrom,D,Dc,Genoa,4.0,4,0,10,0
Zelezny,P,Por,Roma,1.0,1,0,1,0
Zemura,D,Ds;E,Udinese,2.0,3,-1,8,0
Zerbin,C,E;W,Cremonese,6.0,3,3,10,0
Zhegrova,C,W,Juventus,9.0,19,-10,15,0
Zielinski,C,C;T,Inter,19.0,4,15,33,0
Ziolkowski,D,Dc,Roma,4.0,3,1,12,0
Zortea,D,E,Bologna,8.0,16,-8,11,0
Zè Pedro,D,Dc,Cagliari,2.0,4,-2,10,0
