Team,Giocatore,Ruolo,Squadra,PrezzoAcquisto,PrezzoAttuale
BOBONE32,Canestrelli,D,Pis,3,3
BOBONE32,Gallo,D,Lec,5,5
BOBONE32,Ndiaye,D,Par,3,3
BOBONE32,Norton-Cuffy,D,Gen,7,7
BOBONE32,Pavlovic,D,Mil,9,9
BOBONE32,Ramon,D,Com,6,6
BOBONE32,Tiago Gabriel,D,Lec,2,2
BOBONE32,Christensen O.,P,Fio,1,1
BOBONE32,De Gea,P,Fio,14,14
BOBONE32,Lezzerini,P,Fio,1,1
BinuSpuntu,Albarracin,A,Cag,1,1
BinuSpuntu,David,A,Juv,16,16
BinuSpuntu,Hojlund,A,Nap,21,21
BinuSpuntu,Martinez L.,A,Int,36,36
BinuSpuntu,Solomon,A,Fio,8,8
BinuSpuntu,Akinsanmiro,C,Pis,3,3
BinuSpuntu,Atta,C,Udi,6,6
BinuSpuntu,Da Cunha,C,Com,12,12
BinuSpuntu,Hojholt,C,Pis,1,1
BinuSpuntu,McKennie,C,Juv,16,16
BinuSpuntu,McTominay,C,Nap,26,26
BinuSpuntu,Paz N.,C,Com,28,28
BinuSpuntu,Saelemaekers,C,Mil,12,12
BinuSpuntu,Belghali,D,Ver,10,10
BinuSpuntu,Canestrelli,D,Pis,3,3
BinuSpuntu,Pongracic,D,Fio,4,4
BinuSpuntu,Rugani,D,Fio,2,2
BinuSpuntu,Terracciano F.,D,Cre,2,2
BinuSpuntu,Valeri,D,Par,10,10
BinuSpuntu,Van Der Brempt,D,Com,4,4
BinuSpuntu,Caprile,P,Cag,7,7
BinuSpuntu,Martinez Jo.,P,Int,1,1
BinuSpuntu,Sommer,P,Int,10,10
Boiali,Douvikas,A,Com,24,24
Boiali,Kean,A,Fio,33,33
Boiali,Malen,A,Rom,14,14
Boiali,Martinez L.,A,Int,34,34
Boiali,Okereke,A,Cre,1,1
Boiali,McTominay,C,Nap,25,25
Boiali,Ordonez C.,C,Par,2,2
Boiali,Orsolini,C,Bol,22,22
Boiali,Paz N.,C,Com,20,20
Boiali,Tramoni M.,C,Pis,12,12
Boiali,Zaccagni,C,Laz,24,24
Boiali,Zaniolo,C,Udi,15,15
Boiali,Zerbin,C,Cre,3,3
Boiali,Canestrelli,D,Pis,3,3
Boiali,Delprato,D,Par,8,8
Boiali,Frese,D,Ver,3,3
Boiali,Ghilardi,D,Rom,4,4
Boiali,Ramon,D,Com,4,4
Boiali,Tiago Gabriel,D,Lec,1,1
Boiali,Vasquez,D,Gen,9,9
Boiali,Maignan,P,Mil,16,16
Boiali,Terracciano,P,Mil,1,1
Boiali,Torriani,P,Mil,1,1
CISCO TEAM,Berardi,A,Sas,24,24
CISCO TEAM,Cancellieri,A,Laz,3,3
CISCO TEAM,Ferguson E.,A,Rom,19,19
CISCO TEAM,Martinez L.,A,Int,36,36
CISCO TEAM,Trepy,A,Cag,1,1
CISCO TEAM,Aebischer,C,Pis,4,4
CISCO TEAM,Maldini,C,Laz,3,3
CISCO TEAM,Marchwinski,C,Lec,1,1
CISCO TEAM,Mazzitelli,C,Cag,13,13
CISCO TEAM,Paz N.,C,Com,21,21
CISCO TEAM,Pellegrini Lo.,C,Rom,16,16
CISCO TEAM,Prati,C,Tor,3,3
CISCO TEAM,Pulisic,C,Mil,28,28
CISCO TEAM,Bremer,D,Juv,17,17
CISCO TEAM,Cambiaso,D,Juv,15,15
CISCO TEAM,Canestrelli,D,Pis,3,3
CISCO TEAM,Doig,D,Sas,6,6
CISCO TEAM,Norton-Cuffy,D,Gen,6,6
CISCO TEAM,Tiago Gabriel,D,Lec,1,1
CISCO TEAM,Valeri,D,Par,10,10
CISCO TEAM,Meret,P,Nap,8,8
CISCO TEAM,Milinkovic-Savic V.,P,Nap,4,4
CISCO TEAM,Terracciano,P,Mil,1,1
CLAN,Hojlund,A,Nap,24,24
CLAN,Malen,A,Rom,14,14
CLAN,Solomon,A,Fio,8,8
CLAN,Thuram,A,Int,31,31
CLAN,Zapata D.,A,Tor,10,10
CLAN,Baldanzi,C,Gen,5,5
CLAN,Baturina,C,Com,17,17
