ID,Giocatore,Posizione,Squadra,Ammonizioni
5800,Gudmundsson A.,C,Fiorentina,3
5589,Konè M.,C,Roma,2
5687,Vlasic,C,Torino,5
6151,Perrone,C,Como,7
5422,Zalewski,C,Atalanta,1
1870,Barella,C,Inter,4
6831,Neres,C,Napoli,3
6717,Konè I.,C,Sassuolo,2
530,Pellegrini Lo.,C,Roma,2
4364,Gaetano,C,Cagliari,3
4427,Malinovskyi,C,Genoa,8
4404,Thorsby,C,Cremonese,2
827,Locatelli,C,Juventus,4
4973,McKennie,C,Juventus,4
6884,Conceicao,C,Juventus,2
632,Zaccagni,C,Lazio,6
2077,Pasalic,C,Atalanta,2
5036,Caqueret,C,Como,1
5559,Da Cunha,C,Como,4
7133,Vandeputte,C,Cremonese,2
449,Vazquez,C,Cremonese,1
4186,Guendouzi,C,Lazio,5
5504,Coulibaly L.,C,Lecce,3
5453,Ricci S.,C,Milan,1
6640,Felici,C,Cagliari,3
333,Cataldi,C,Lazio,5
4199,Loftus-Cheek,C,Milan,1
779,Cristante,C,Roma,5
5844,Thorstvedt,C,Sassuolo,6
5735,Volpato,C,Sassuolo,2
2839,Sottil,C,Lecce,1
5298,Pobega,C,Bologna,1
6020,Ellertsson,C,Genoa,1
7070,Sucic P.,C,Inter,3
2334,Leris,C,Pisa,1
6815,Fadera,C,Sassuolo,3
6458,Serdar,C,Verona,2
1976,Mazzitelli,C,Cagliari,3
22,De Roon,C,Atalanta,5
5792,Ederson D.S.,C,Atalanta,1
4947,Brescianini,C,Fiorentina,1
5119,Samardzic,C,Atalanta,1
2529,Mkhitaryan,C,Inter,2
5813,Miretti,C,Juventus,1
4686,Fofana Y.,C,Milan,4
4287,Lobotka,C,Napoli,1
536,Politano,C,Napoli,1
7146,Tourè I.,C,Pisa,2
5318,Tramoni M.,C,Pisa,3
6680,Karlstrom,C,Udinese,4
2528,Matic,C,Sassuolo,4
5791,Frendrup,C,Genoa,3
7028,Bernede,C,Verona,1
6054,Moro N.,C,Bologna,1
6206,Fabbian,C,Fiorentina,1
6252,Folorunsho,C,Cagliari,3
4465,Fagioli,C,Fiorentina,4
6898,Keita M.,C,Parma,1
7198,Piotrowski,C,Udinese,2
6844,Rowe,C,Bologna,2
801,Gagliardini,C,Verona,6
4870,Adopo,C,Cagliari,2
5992,Bondo,C,Cremonese,4
795,El Shaarawy,C,Roma,2
5888,Casadei,C,Torino,5
6481,Payero,C,Cremonese,6
5858,Ferguson,C,Bologna,3
1871,Deiola,C,Cagliari,3
6424,Prati,C,Torino,5
6294,Ndour,C,Fiorentina,1
5301,Luis Henrique,C,Inter,1
181,Vecino,C,Lazio,1
6549,Pierotti,C,Lecce,1
5998,Zerbin,C,Cremonese,1
5131,Gilmour,C,Napoli,1
6593,Akinsanmiro,C,Pisa,2
5823,Baldanzi,C,Genoa,2
7209,Sorensen O.,C,Parma,2
788,Freuler,C,Bologna,3
5784,Aebischer,C,Pisa,4
184,Bernardeschi,C,Bologna,2
27,Grassi,C,Cremonese,2
6917,Masini,C,Genoa,4
6394,Ramadani,C,Lecce,7
5295,Musah,C,Atalanta,1
5290,Estevez,C,Parma,2
6984,Ondrejka,C,Parma,1
7145,Piccinini G.,C,Pisa,2
7157,Iannoni,C,Sassuolo,3
5540,Niasse,C,Verona,1
6218,Oristanio,C,Parma,1
4479,Elmas,C,Napoli,1
6106,Carboni V.,C,Genoa,2
5685,Koopmeiners,C,Juventus,5
5457,Maleh,C,Cremonese,2
5319,Sohm,C,Bologna,2
7149,Marin M.,C,Pisa,4
6271,El Aynaoui,C,Roma,3
4890,Tameze,C,Torino,2
4896,Maldini,C,Lazio,1
4284,Sergi Roberto,C,Como,2
6191,Belahyane,C,Lazio,1
4459,Rovella,C,Lazio,2
6410,Kaba,C,Lecce,1
6634,Tete Morente,C,Lecce,2
5007,Ilic,C,Torino,2
5850,Lovric,C,Verona,1
7208,Miller L.,C,Udinese,2
7010,Al-Musrati,C,Verona,3
4349,Nicolussi Caviglia,C,Parma,4
6024,Sulemana I.,C,Cagliari,1
7132,Collocolo,C,Cremonese,1
6722,Gronbaek,C,Genoa,1
5719,Asllani,C,Torino,3
7138,Ordonez C.,C,Parma,2
7150,Vural,C,Pisa,3
6889,Anjorin,C,Torino,1
6212,Zarraga,C,Udinese,1
6005,Ilkhan,C,Torino,1
7223,Vergara,C,Napoli,1
5610,Vranckx,C,Sassuolo,2
5286,Akpa Akpro,C,Verona,4
7147,Hojholt,C,Pisa,1
2764,Martinez L.,A,Inter,3
6434,Yildiz,A,Juventus,2
4871,Thuram,A,Inter,2
4510,Leao,A,Milan,1
5734,Soulè,A,Roma,1
5637,Davis K.,A,Udinese,4
6052,Hojlund,A,Napoli,1
2137,Scamacca,A,Atalanta,2
6572,Castro S.,A,Bologna,1
6435,Krstovic,A,Atalanta,2
531,Berardi,A,Sassuolo,2
6552,Orban G.,A,Verona,4
505,Bonazzoli,A,Cremonese,3
7023,Pellegrino M.,A,Parma,3
7071,Esposito F.P.,A,Inter,1
6060,Laurientè,A,Sassuolo,2
2499,Vardy,A,Cremonese,4
6226,Castellanos,A,Lazio,2
5455,Moreo,A,Pisa,1
5995,De Ketelaere,A,Atalanta,2
4436,Cambiaghi,A,Bologna,3
2097,Kean,A,Fiorentina,3
4463,Esposito Se.,A,Cagliari,4
6365,Ferguson E.,A,Roma,1
7162,Giovane,A,Napoli,2
4923,Colombo,A,Genoa,1
5500,Cancellieri,A,Lazio,4
2038,Pinamonti,A,Sassuolo,1
7199,Kilicsoy,A,Cagliari,1
6243,Borrelli,A,Cagliari,3
7120,Lang,A,Napoli,2
7129,Rodriguez Je.,A,Como,1
6164,Vitinha O.,A,Genoa,3
7008,Gimenez,A,Milan,1
5918,Sulemana K.,A,Atalanta,3
7127,Addai,A,Como,4
6001,Banda,A,Lecce,4
5336,Nzola,A,Sassuolo,1
6822,Ekhator,A,Genoa,3
7001,N'Dri,A,Lecce,2
6145,Ngonge,A,Torino,2
6643,Dallinga,A,Bologna,1
6667,Benedyczak,A,Parma,1
6836,Meister,A,Pisa,1
7249,Buksa,A,Udinese,1
2489,Pedro,A,Lazio,2
6630,Mosquera,A,Verona,1
6439,Cheddira,A,Lecce,1
7252,Stulic,A,Lecce,1
6827,Njie,A,Torino,1
479,Sanabria,A,Cremonese,2
6895,Dominguez B.,A,Bologna,1
6215,Lucca,A,Napoli,1
785,Immobile,A,Bologna,1
6519,Camarda,A,Lecce,1
6653,Bravo,A,Udinese,1
647,Dzeko,A,Fiorentina,1
7183,Aboukhlal,A,Torino,3
313,Morata,A,Como,1
5471,Djuric,A,Cremonese,1
1842,Pierini,A,Sassuolo,1
7158,Moro L.,A,Sassuolo,1
7272,Gueye,A,Udinese,1
247,Pavoletti,A,Cagliari,1
