ID,Giocatore,Posizione,Squadra,Partite giocate
7274,Zè Pedro,D,Cagliari,8
6444,Bonfanti,D,Pisa,9
5498,Casale,D,Bologna,8
487,De Silvestri,D,Bologna,5
2653,Lykogiannis,D,Bologna,7
5406,Di Pardo,D,Cagliari,1
6896,Van Der Brempt,D,Como,6
1891,Ceccherini,D,Cremonese,6
4904,Marì,D,Fiorentina,10
5718,Viti,D,Fiorentina,6
6977,Otoa,D,Genoa,7
791,Sabelli,D,Genoa,5
2525,Darmian,D,Inter,1
294,Rugani,D,Fiorentina,4
7182,Ndaba,D,Lecce,6
5481,Mazzocchi,D,Napoli,4
6965,Lovik,D,Parma,6
7140,Coppola F.,D,Pisa,3
6411,Mateus Lusuardi,D,Pisa,3
49,Masina,D,Torino,4
252,Biraghi,D,Torino,9
6925,Palma,D,Udinese,4
5994,Ebosse,D,Torino,3
6537,Goglichidze,D,Udinese,6
6985,Candè,D,Sassuolo,8
7222,Cham,D,Verona,3
7235,Troilo,D,Parma,8
6870,Faye,D,Cremonese,6
388,Albiol,D,Pisa,6
7175,Joao Mario,D,Bologna,4
327,Patric,D,Lazio,1
140,Hysaj,D,Lazio,2
7164,Perez M.,D,Lecce,1
7136,Kouassi,D,Lecce,4
2279,Romagna,D,Sassuolo,3
6826,Dembelè A.,D,Torino,1
6900,Rui Modesto,D,Udinese,2
6992,Oyegoke,D,Verona,2
7196,Denoon,D,Pisa,2
7202,Ndiaye,D,Parma,7
7238,Kouadio,D,Fiorentina,1
6351,Lamptey,D,Fiorentina,1
5156,Nkounkou,D,Torino,6
6665,Coulibaly W.,D,Sassuolo,6
7325,Bozhinov,D,Pisa,1
2423,Pulisic,C,Milan,15
6875,Paz N.,C,Como,23
2194,Calhanoglu,C,Inter,16
2379,Rabiot,C,Milan,16
4777,McTominay,C,Napoli,22
2167,Orsolini,C,Bologna,21
152,Zielinski,C,Inter,16
2606,Modric,C,Milan,21
2517,De Bruyne,C,Napoli,8
2766,Zaniolo,C,Udinese,18
1933,Mandragora,C,Fiorentina,23
4892,Saelemaekers,C,Milan,22
4220,Zambo Anguissa,C,Napoli,11
5687,Vlasic,C,Torino,23
6908,Atta,C,Udinese,18
2765,Odgaard,C,Bologna,16
7126,Baturina,C,Como,11
5800,Gudmundsson A.,C,Fiorentina,21
6717,Konè I.,C,Sassuolo,20
6151,Perrone,C,Como,21
1870,Barella,C,Inter,22
4973,McKennie,C,Juventus,20
6831,Neres,C,Napoli,16
6666,Bernabè,C,Parma,23
5589,Konè M.,C,Roma,22
4427,Malinovskyi,C,Genoa,21
5422,Zalewski,C,Atalanta,17
6884,Conceicao,C,Juventus,16
530,Pellegrini Lo.,C,Roma,15
4364,Gaetano,C,Cagliari,21
4404,Thorsby,C,Cremonese,12
4711,Kostic,C,Juventus,10
827,Locatelli,C,Juventus,22
5562,Thuram K.,C,Juventus,21
333,Cataldi,C,Lazio,20
6398,Isaksen,C,Lazio,14
4199,Loftus-Cheek,C,Milan,18
6684,Ekkelenkamp,C,Udinese,19
7314,Taylor K.,C,Lazio,4
5559,Da Cunha,C,Como,21
7133,Vandeputte,C,Cremonese,21
449,Vazquez,C,Cremonese,13
5674,Basic,C,Lazio,15
4186,Guendouzi,C,Lazio,16
632,Zaccagni,C,Lazio,19
5504,Coulibaly L.,C,Lecce,19
5453,Ricci S.,C,Milan,17
1976,Mazzitelli,C,Cagliari,9
2077,Pasalic,C,Atalanta,18
5036,Caqueret,C,Como,16
6015,Berisha M.,C,Lecce,12
779,Cristante,C,Roma,22
5844,Thorstvedt,C,Sassuolo,17
5735,Volpato,C,Sassuolo,12
2839,Sottil,C,Lecce,17
5792,Ederson D.S.,C,Atalanta,19
6640,Felici,C,Cagliari,11
