ID,Giocatore,Posizione,Squadra,Mediavoto
6047,Ehizibue,D,Udinese,5.65
6894,Unai Nunez,D,Verona,5.85
7211,Athekame,D,Milan,5.92
7018,Nelsson,D,Verona,5.59
7253,Bella-Kotchap,D,Verona,5.88
5168,Tsimikas,D,Roma,5.81
2006,Lirola,D,Verona,5.67
322,De Vrij,D,Inter,6.17
5273,Estupinan,D,Milan,5.67
6809,Marianucci,D,Torino,5.67
5840,Olivera,D,Napoli,5.59
6211,Zemura,D,Udinese,5.89
7011,Slotsager,D,Verona,5.62
6957,Valentini N.,D,Verona,5.68
7240,Siebert,D,Lecce,5.5
7260,Ziolkowski,D,Roma,6.07
7268,Rodriguez Ju.,D,Cagliari,5.58
7274,Zè Pedro,D,Cagliari,5.62
6444,Bonfanti,D,Pisa,5.61
5498,Casale,D,Bologna,5.56
487,De Silvestri,D,Bologna,6.1
2653,Lykogiannis,D,Bologna,5.71
5406,Di Pardo,D,Cagliari,5.5
6896,Van Der Brempt,D,Como,6.0
1891,Ceccherini,D,Cremonese,5.5
4904,Marì,D,Fiorentina,5.45
5718,Viti,D,Fiorentina,5.58
6977,Otoa,D,Genoa,5.57
791,Sabelli,D,Genoa,5.8
2525,Darmian,D,Inter,6.0
294,Rugani,D,Fiorentina,5.88
7182,Ndaba,D,Lecce,5.83
5481,Mazzocchi,D,Napoli,5.75
6965,Lovik,D,Parma,5.58
7140,Coppola F.,D,Pisa,5.0
6411,Mateus Lusuardi,D,Pisa,5.83
49,Masina,D,Torino,5.38
252,Biraghi,D,Torino,5.56
6925,Palma,D,Udinese,5.5
5994,Ebosse,D,Torino,5.5
6537,Goglichidze,D,Udinese,5.75
6985,Candè,D,Sassuolo,5.69
7222,Cham,D,Verona,5.17
7235,Troilo,D,Parma,5.56
6870,Faye,D,Cremonese,5.75
388,Albiol,D,Pisa,5.83
7175,Joao Mario,D,Bologna,5.75
327,Patric,D,Lazio,6.0
140,Hysaj,D,Lazio,5.5
7164,Perez M.,D,Lecce,5.0
7136,Kouassi,D,Lecce,5.5
2279,Romagna,D,Sassuolo,5.5
6826,Dembelè A.,D,Torino,5.0
6900,Rui Modesto,D,Udinese,5.75
6992,Oyegoke,D,Verona,5.0
7196,Denoon,D,Pisa,5.5
7202,Ndiaye,D,Parma,5.36
7238,Kouadio,D,Fiorentina,6.0
6351,Lamptey,D,Fiorentina,6.0
5156,Nkounkou,D,Torino,5.75
6665,Coulibaly W.,D,Sassuolo,5.42
7325,Bozhinov,D,Pisa,5.0
2423,Pulisic,C,Milan,6.53
6875,Paz N.,C,Como,6.43
2194,Calhanoglu,C,Inter,6.5
2379,Rabiot,C,Milan,6.59
4777,McTominay,C,Napoli,6.36
2167,Orsolini,C,Bologna,6.1
152,Zielinski,C,Inter,6.44
2606,Modric,C,Milan,6.5
2517,De Bruyne,C,Napoli,6.38
2766,Zaniolo,C,Udinese,6.25
1933,Mandragora,C,Fiorentina,6.04
4892,Saelemaekers,C,Milan,6.27
4220,Zambo Anguissa,C,Napoli,6.5
5687,Vlasic,C,Torino,6.0
6908,Atta,C,Udinese,6.47
2765,Odgaard,C,Bologna,5.91
7126,Baturina,C,Como,6.36
5800,Gudmundsson A.,C,Fiorentina,5.98
6717,Konè I.,C,Sassuolo,6.2
6151,Perrone,C,Como,6.29
1870,Barella,C,Inter,6.18
4973,McKennie,C,Juventus,6.18
6831,Neres,C,Napoli,6.19
6666,Bernabè,C,Parma,6.15
5589,Konè M.,C,Roma,6.34
4427,Malinovskyi,C,Genoa,6.12
5422,Zalewski,C,Atalanta,6.15
6884,Conceicao,C,Juventus,6.19
530,Pellegrini Lo.,C,Roma,6.1
4364,Gaetano,C,Cagliari,6.05
4404,Thorsby,C,Cremonese,6.21
4711,Kostic,C,Juventus,6.2
827,Locatelli,C,Juventus,6.39
5562,Thuram K.,C,Juventus,6.17
333,Cataldi,C,Lazio,6.1
6398,Isaksen,C,Lazio,6.11
4199,Loftus-Cheek,C,Milan,6.14
6684,Ekkelenkamp,C,Udinese,6.03
