ID,Giocatore,Posizione,Squadra,Rigori parati
4431,Carnesecchi,P,Atalanta,2
4312,Maignan,P,Milan,2
2170,Milinkovic-Savic V.,P,Napoli,2
6966,Butez,P,Como,1
2814,Provedel,P,Lazio,1
2134,Falcone,P,Lecce,2
761,Audero,P,Cremonese,1
6462,Okoye,P,Udinese,1
2521,De Gea,P,Fiorentina,1
4957,Montipò,P,Verona,1
6641,Suzuki,P,Parma,1
