ID,Giocatore,Posizione,Squadra,Gol fatti
6060,Laurientè,A,Sassuolo,3
5995,De Ketelaere,A,Atalanta,3
2097,Kean,A,Fiorentina,5
4463,Esposito Se.,A,Cagliari,3
6669,Bonny,A,Inter,5
6646,Adams C.,A,Torino,4
4436,Cambiaghi,A,Bologna,3
7162,Giovane,A,Napoli,3
7199,Kilicsoy,A,Cagliari,4
7316,Durosinmi,A,Pisa,1
5544,David,A,Juventus,5
4371,Raspadori,A,Atalanta,1
6365,Ferguson E.,A,Roma,3
4730,Lookman,A,Atalanta,2
2841,Vlahovic,A,Juventus,3
5500,Cancellieri,A,Lazio,3
6675,Dovbyk,A,Roma,3
2038,Pinamonti,A,Sassuolo,4
2678,Fullkrug,A,Milan,1
5585,Malen,A,Roma,1
6243,Borrelli,A,Cagliari,3
4923,Colombo,A,Genoa,5
6164,Vitinha O.,A,Genoa,3
7120,Lang,A,Napoli,1
309,Dybala,A,Roma,2
6001,Banda,A,Lecce,2
5918,Sulemana K.,A,Atalanta,2
7127,Addai,A,Como,3
6556,Noslin,A,Lazio,2
5506,Ekuban,A,Genoa,2
7001,N'Dri,A,Lecce,2
5336,Nzola,A,Sassuolo,3
4359,Piccoli,A,Fiorentina,2
6822,Ekhator,A,Genoa,2
2489,Pedro,A,Lazio,2
6145,Ngonge,A,Torino,1
6314,Openda,A,Juventus,1
6643,Dallinga,A,Bologna,1
6667,Benedyczak,A,Parma,1
6836,Meister,A,Pisa,2
441,Belotti,A,Cagliari,2
6380,Solomon,A,Fiorentina,1
5496,Johnsen,A,Cremonese,1
6439,Cheddira,A,Lecce,1
7249,Buksa,A,Udinese,1
7252,Stulic,A,Lecce,2
7128,Kuhn,A,Como,1
2155,Cutrone,A,Parma,1
6827,Njie,A,Torino,1
479,Sanabria,A,Cremonese,1
608,Zapata D.,A,Torino,1
5672,Dia,A,Lazio,1
6215,Lucca,A,Napoli,1
6519,Camarda,A,Lecce,1
6653,Bravo,A,Udinese,1
5512,De Luca,A,Cremonese,1
