Team,Ruolo,Giocatore,Squadra,PrezzoAcquisto,PrezzoAttuale
FC Galli,D,Lazzari,Lazio,3.0,4.0
FC Galli,D,Sernicola,Cremonese,1.0,1.0
FC Galli,C,Akpa Akpro,Verona,1.0,2.0
FC Galli,C,Basic,Lazio,1.0,14.0
FC Galli,C,Folorunsho,Cagliari,9.0,8.0
FC Galli,C,Malinovskyi,Genoa,7.0,12.0
FC Galli,C,McTominay,Napoli,26.0,25.0
FC Galli,C,Pasalic,Atalanta,11.0,13.0
FC Galli,C,Pulisic,Milan,28.0,31.0
FC Galli,C,Zarraga,Udinese,2.0,2.0
FC Galli,A,Ekhator,Genoa,1.0,10.0
FC Galli,A,Leao,Milan,26.0,30.0
FC Galli,A,Martinez L.,Inter,34.0,34.0
FC Galli,A,Moro L.,Sassuolo,1.0,1.0
FC Galli,A,Soulè,Roma,20.0,26.0
FC Plasmon,P,Mandas,Lazio,3.0,1.0
FC Plasmon,P,Perin,Juventus,1.0,3.0
FC Plasmon,P,Provedel,Lazio,12.0,17.0
FC Plasmon,D,Angelino,Roma,15.0,7.0
FC Plasmon,D,Cambiaso,Juventus,15.0,10.0
FC Plasmon,D,Dodò,Fiorentina,11.0,6.0
FC Plasmon,D,Martin,Genoa,10.0,14.0
FC Plasmon,D,Miranda J.,Bologna,9.0,11.0
FC Plasmon,D,Terracciano F.,Cremonese,2.0,11.0
FC Plasmon,D,Tiago Gabriel,Lecce,1.0,9.0
FC Plasmon,C,Akpa Akpro,Verona,1.0,2.0
FC Plasmon,C,Isaksen,Lazio,14.0,14.0
FC Plasmon,C,Kaba,Lecce,1.0,3.0
FC Plasmon,C,Malinovskyi,Genoa,7.0,12.0
FC Plasmon,C,Ndour,Fiorentina,2.0,6.0
FC Plasmon,C,Paz N.,Como,21.0,30.0
FC Plasmon,C,Pulisic,Milan,28.0,31.0
FC Plasmon,C,Zerbin,Cremonese,3.0,6.0
FC Plasmon,A,Buffon L.,Pisa,1.0,1.0
FC Plasmon,A,Giovane,Verona,1.0,17.0
FC Plasmon,A,Kean,Fiorentina,33.0,18.0
FC Plasmon,A,Leao,Milan,26.0,30.0
FC Plasmon,A,Thuram,Inter,31.0,29.0
FC Spiaze,P,Di Gregorio,Juventus,16.0,16.0
FC Spiaze,P,Perin,Juventus,1.0,3.0
FC Spiaze,P,Siegrist,Genoa,1.0,1.0
FC Spiaze,D,Angelino,Roma,15.0,7.0
FC Spiaze,D,Belghali,Verona,8.0,11.0
FC Spiaze,D,Beukema,Napoli,10.0,7.0
FC Spiaze,D,Delprato,Parma,8.0,9.0
FC Spiaze,D,Dimarco,Inter,27.0,29.0
FC Spiaze,D,Palma,Udinese,1.0,2.0
FC Spiaze,D,Tiago Gabriel,Lecce,1.0,9.0
FC Spiaze,C,Iannoni,Sassuolo,1.0,5.0
FC Spiaze,C,Kaba,Lecce,1.0,3.0
FC Spiaze,C,Leris,Pisa,2.0,12.0
FC Spiaze,C,Paz N.,Como,21.0,30.0
FC Spiaze,C,Pulisic,Milan,28.0,31.0
FC Spiaze,C,Ricci S.,Milan,10.0,13.0
FC Spiaze,C,Stanciu,Genoa,8.0,1.0
FC Spiaze,C,Tramoni M.,Pisa,12.0,9.0
FC Spiaze,A,Benedyczak,Parma,1.0,8.0
FC Spiaze,A,Bonazzoli,Cremonese,1.0,20.0
FC Spiaze,A,De Ketelaere,Atalanta,19.0,17.0
FC Spiaze,A,Martinez L.,Inter,34.0,34.0
FC Spiaze,A,Rodriguez Je.,Como,6.0,12.0
Fc Cortomuso,P,Meret,Napoli,16.0,8.0
Fc Cortomuso,P,Milinkovic-Savic V.,Napoli,4.0,19.0
Fc Cortomuso,P,Sava,Udinese,4.0,1.0
Fc Cortomuso,D,Angori,Pisa,5.0,9.0
Fc Cortomuso,D,Bellanova,Atalanta,13.0,6.0
Fc Cortomuso,D,Dodò,Fiorentina,11.0,6.0
Fc Cortomuso,D,Martin,Genoa,10.0,14.0
Fc Cortomuso,D,Palma,Udinese,1.0,2.0
Fc Cortomuso,D,Pavlovic,Milan,7.0,15.0
Fc Cortomuso,D,Tiago Gabriel,Lecce,1.0,9.0
Fc Cortomuso,C,Atta,Udinese,8.0,16.0
Fc Cortomuso,C,Ilkhan,Torino,1.0,2.0
Fc Cortomuso,C,Kaba,Lecce,1.0,3.0
Fc Cortomuso,C,Malinovskyi,Genoa,7.0,12.0
Fc Cortomuso,C,Orsolini,Bologna,31.0,24.0
Fc Cortomuso,C,Paz N.,Como,21.0,30.0
Fc Cortomuso,C,Pulisic,Milan,28.0,31.0
Fc Cortomuso,C,Venturino,Genoa,3.0,1.0
Fc Cortomuso,A,Dybala,Roma,13.0,13.0
Fc Cortomuso,A,Giovane,Verona,1.0,17.0
Fc Cortomuso,A,Leao,Milan,26.0,30.0
Fc Cortomuso,A,Martinez L.,Inter,34.0,34.0
Fc Cortomuso,A,Pellegrino M.,Parma,13.0,21.0
Fc nipiri,P,Meret,Napoli,16.0,8.0
Fc nipiri,P,Milinkovic-Savic V.,Napoli,4.0,19.0
Fc nipiri,P,Satalino,Sassuolo,1.0,1.0
Fc nipiri,D,Akanji,Inter,9.0,11.0
Fc nipiri,D,Di Lorenzo,Napoli,14.0,12.0
Fc nipiri,D,Doig,Sassuolo,6.0,6.0
Fc nipiri,D,Gosens,Fiorentina,18.0,10.0
Fc nipiri,D,Mbambi,Pisa,1.0,1.0
Fc nipiri,D,Scalvini,Atalanta,8.0,12.0
Fc nipiri,D,Solet,Udinese,11.0,11.0
Fc nipiri,C,Gineitis,Torino,4.0,4.0
Fc nipiri,C,Karlstrom,Udinese,7.0,10.0
Fc nipiri,C,Liteta,Cagliari,1.0,1.0
Fc nipiri,C,Musah,Atalanta,6.0,5.0
Fc nipiri,C,Orsolini,Bologna,31.0,24.0
Fc nipiri,C,Paz N.,Como,21.0,30.0
Fc nipiri,C,Thuram K.,Juventus,15.0,13.0
Fc nipiri,C,Zarraga,Udinese,2.0,2.0
Fc nipiri,A,Berardi,Sassuolo,21.0,21.0
Fc nipiri,A,Bonny,Inter,5.0,14.0
Fc nipiri,A,Buffon L.,Pisa,1.0,1.0
Fc nipiri,A,David,Juventus,16.0,13.0
Fc nipiri,A,Pavoletti,Cagliari,1.0,1.0
Giubbentus,P,Maignan,Milan,16.0,20.0
Giubbentus,P,Milinkovic-Savic V.,Napoli,4.0,19.0
Giubbentus,P,Terracciano,Milan,1.0,1.0
Giubbentus,D,Cabal,Juventus,4.0,9.0
Giubbentus,D,Canestrelli,Pisa,3.0,5.0
Giubbentus,D,Norton-Cuffy,Genoa,3.0,7.0
Giubbentus,D,Obert,Cagliari,4.0,5.0
Giubbentus,D,Smolcic I.,Como,2.0,3.0
Giubbentus,D,Tiago Gabriel,Lecce,1.0,9.0
Giubbentus,D,Veiga D.,Lecce,2.0,5.0
Giubbentus,C,Aebischer,Pisa,4.0,5.0
Giubbentus,C,Akpa Akpro,Verona,1.0,2.0
Giubbentus,C,Folorunsho,Cagliari,9.0,8.0
Giubbentus,C,Isaksen,Lazio,14.0,14.0
Giubbentus,C,Politano,Napoli,15.0,11.0
Giubbentus,C,Prati,Cagliari,4.0,6.0
Giubbentus,C,Pulisic,Milan,28.0,31.0
Giubbentus,C,Zaccagni,Lazio,26.0,14.0
Giubbentus,A,Martinez L.,Inter,34.0,34.0
Giubbentus,A,Meister,Pisa,3.0,8.0
Giubbentus,A,Scamacca,Atalanta,16.0,22.0
Giubbentus,A,Stulic,Lecce,8.0,8.0
Giubbentus,A,Thuram,Inter,31.0,29.0
HeineKean,P,Gollini,Roma,1.0,1.0
HeineKean,P,Milinkovic-Savic V.,Napoli,4.0,19.0
HeineKean,P,Svilar,Roma,15.0,19.0
HeineKean,D,Angori,Pisa,5.0,9.0
HeineKean,D,Bellanova,Atalanta,13.0,6.0
HeineKean,D,Cambiaso,Juventus,15.0,10.0
HeineKean,D,Dodò,Fiorentina,11.0,6.0
HeineKean,D,Mbambi,Pisa,1.0,1.0
HeineKean,D,Ramon,Como,4.0,12.0
HeineKean,D,Tiago Gabriel,Lecce,1.0,9.0
HeineKean,C,Conceicao,Juventus,18.0,15.0
HeineKean,C,Folorunsho,Cagliari,9.0,8.0
HeineKean,C,Gudmundsson A.,Fiorentina,17.0,17.0
HeineKean,C,Loftus-Cheek,Milan,8.0,13.0
HeineKean,C,Marchwinski,Lecce,1.0,1.0
HeineKean,C,Politano,Napoli,15.0,11.0
HeineKean,C,Prati,Cagliari,4.0,6.0
HeineKean,C,Stanciu,Genoa,8.0,1.0
HeineKean,A,Addai,Como,10.0,12.0
HeineKean,A,Castellanos,Lazio,21.0,18.0
HeineKean,A,Cheddira,Sassuolo,4.0,6.0
HeineKean,A,David,Juventus,16.0,13.0
HeineKean,A,Thuram,Inter,31.0,29.0
Hellas merdona,P,De Gea,Fiorentina,14.0,11.0
Hellas merdona,P,Lezzerini,Fiorentina,1.0,1.0
Hellas merdona,P,Martinelli T.,Fiorentina,1.0,1.0
Hellas merdona,D,Dumfries,Inter,20.0,10.0
Hellas merdona,D,Lazaro,Torino,7.0,7.0
Hellas merdona,D,Mancini,Roma,11.0,10.0
Hellas merdona,D,Marusic,Lazio,8.0,7.0
Hellas merdona,D,Norton-Cuffy,Genoa,3.0,7.0
Hellas merdona,D,Terracciano F.,Cremonese,2.0,11.0
Hellas merdona,D,Tiago Gabriel,Lecce,1.0,9.0
Hellas merdona,C,Adopo,Cagliari,5.0,6.0
Hellas merdona,C,Akpa Akpro,Verona,1.0,2.0
Hellas merdona,C,Bondo,Cremonese,3.0,7.0
Hellas merdona,C,Elmas,Napoli,8.0,6.0
Hellas merdona,C,Ilkhan,Torino,1.0,2.0
Hellas merdona,C,Paz N.,Como,21.0,30.0
Hellas merdona,C,Pulisic,Milan,28.0,31.0
Hellas merdona,C,Thorstvedt,Sassuolo,8.0,12.0
Hellas merdona,A,Banda,Lecce,5.0,11.0
Hellas merdona,A,Leao,Milan,26.0,30.0
Hellas merdona,A,Lookman,Atalanta,19.0,14.0
Hellas merdona,A,Martinez L.,Inter,34.0,34.0
Hellas merdona,A,Ngonge,Torino,8.0,9.0
I COMPARI,P,Caprile,Cagliari,7.0,12.0
I COMPARI,P,Milinkovic-Savic V.,Napoli,4.0,19.0
I COMPARI,P,Radunovic,Cagliari,1.0,1.0
I COMPARI,D,Bellanova,Atalanta,13.0,6.0
I COMPARI,D,Dembelè A.,Torino,1.0,1.0
I COMPARI,D,Estupinan,Milan,11.0,3.0
I COMPARI,D,Martin,Genoa,10.0,14.0
I COMPARI,D,Terracciano F.,Cremonese,2.0,11.0
I COMPARI,D,Tiago Gabriel,Lecce,1.0,9.0
I COMPARI,D,Valeri,Parma,10.0,10.0
I COMPARI,C,Adzic,Juventus,1.0,3.0
I COMPARI,C,Akpa Akpro,Verona,1.0,2.0
I COMPARI,C,Barella,Inter,14.0,17.0
I COMPARI,C,Kaba,Lecce,1.0,3.0
I COMPARI,C,McTominay,Napoli,26.0,25.0
I COMPARI,C,Paz N.,Como,21.0,30.0
I COMPARI,C,Pulisic,Milan,28.0,31.0
I COMPARI,C,Tramoni M.,Pisa,12.0,9.0
I COMPARI,A,Giovane,Verona,1.0,17.0
I COMPARI,A,Leao,Milan,26.0,30.0
I COMPARI,A,Martinez L.,Inter,34.0,34.0
I COMPARI,A,Pavoletti,Cagliari,1.0,1.0
I COMPARI,A,Soulè,Roma,20.0,26.0
I Cigni,P,Martinez Jo.,Inter,2.0,1.0
I Cigni,P,Sommer,Inter,16.0,14.0
I Cigni,P,Sportiello,Atalanta,1.0,1.0
I Cigni,D,Dodò,Fiorentina,11.0,6.0
I Cigni,D,Doig,Sassuolo,6.0,6.0
I Cigni,D,Esteves T.,Pisa,1.0,1.0
I Cigni,D,Hermoso,Roma,4.0,10.0
I Cigni,D,Tavares N.,Lazio,12.0,6.0
I Cigni,D,Valeri,Parma,10.0,10.0
I Cigni,D,Valle,Como,6.0,8.0
I Cigni,C,Akpa Akpro,Verona,1.0,2.0
I Cigni,C,El Shaarawy,Roma,8.0,8.0
I Cigni,C,Folorunsho,Cagliari,9.0,8.0
I Cigni,C,Isaksen,Lazio,14.0,14.0
I Cigni,C,Ndour,Fiorentina,2.0,6.0
I Cigni,C,Politano,Napoli,15.0,11.0
I Cigni,C,Tramoni M.,Pisa,12.0,9.0
I Cigni,C,Zhegrova,Juventus,14.0,9.0
I Cigni,A,Almqvist,Parma,4.0,3.0
I Cigni,A,Berardi,Sassuolo,21.0,21.0
I Cigni,A,Castellanos,Lazio,22.0,18.0
I Cigni,A,Kean,Fiorentina,33.0,18.0
I Cigni,A,Martinez L.,Inter,34.0,34.0
ISGOPPAISI2,P,Milinkovic-Savic V.,Napoli,4.0,19.0
ISGOPPAISI2,P,Svilar,Roma,15.0,19.0
ISGOPPAISI2,P,Vasquez D.,Roma,1.0,1.0
ISGOPPAISI2,D,Di Lorenzo,Napoli,14.0,12.0
ISGOPPAISI2,D,Dodò,Fiorentina,11.0,6.0
ISGOPPAISI2,D,Joao Mario,Juventus,8.0,2.0
ISGOPPAISI2,D,Lucumì,Bologna,9.0,7.0
ISGOPPAISI2,D,Sernicola,Cremonese,1.0,1.0
ISGOPPAISI2,D,Tiago Gabriel,Lecce,1.0,9.0
ISGOPPAISI2,D,Vojvoda,Como,6.0,12.0
ISGOPPAISI2,C,Adopo,Cagliari,5.0,6.0
ISGOPPAISI2,C,Akpa Akpro,Verona,1.0,2.0
ISGOPPAISI2,C,Boloca,Sassuolo,6.0,2.0
ISGOPPAISI2,C,Calhanoglu,Inter,30.0,28.0
ISGOPPAISI2,C,Paz N.,Como,21.0,30.0
ISGOPPAISI2,C,Saelemaekers,Milan,12.0,19.0
ISGOPPAISI2,C,Sulemana I.,Fiorentina,1.0,1.0
ISGOPPAISI2,C,Zaccagni,Lazio,26.0,14.0
ISGOPPAISI2,A,Bonny,Inter,5.0,14.0
ISGOPPAISI2,A,David,Juventus,16.0,13.0
ISGOPPAISI2,A,Scamacca,Atalanta,16.0,22.0
ISGOPPAISI2,A,Soulè,Roma,20.0,26.0
ISGOPPAISI2,A,Thuram,Inter,31.0,29.0
Imperatori del culo,P,Maignan,Milan,16.0,20.0
Imperatori del culo,P,Ravaglia F.,Bologna,3.0,12.0
Imperatori del culo,P,Terracciano,Milan,1.0,1.0
Imperatori del culo,D,Bastoni,Inter,17.0,17.0
Imperatori del culo,D,Bellanova,Atalanta,13.0,6.0
Imperatori del culo,D,Cambiaso,Juventus,15.0,10.0
Imperatori del culo,D,Idrissi R.,Cagliari,3.0,8.0
Imperatori del culo,D,Ostigard,Genoa,5.0,15.0
Imperatori del culo,D,Tiago Gabriel,Lecce,1.0,9.0
Imperatori del culo,D,Vitik,Bologna,8.0,4.0
Imperatori del culo,C,Adopo,Cagliari,5.0,6.0
Imperatori del culo,C,Akpa Akpro,Verona,1.0,2.0
Imperatori del culo,C,Gudmundsson A.,Fiorentina,17.0,17.0
Imperatori del culo,C,Marchwinski,Lecce,1.0,1.0
Imperatori del culo,C,Pulisic,Milan,28.0,31.0
Imperatori del culo,C,Sulemana I.,Bologna,1.0,1.0
Imperatori del culo,C,Tramoni M.,Pisa,12.0,9.0
Imperatori del culo,C,Zaccagni,Lazio,26.0,14.0
Imperatori del culo,A,Buffon L.,Pisa,1.0,1.0
Imperatori del culo,A,Ferguson E.,Roma,13.0,16.0
Imperatori del culo,A,Giovane,Verona,1.0,17.0
Imperatori del culo,A,Kean,Fiorentina,33.0,18.0
Imperatori del culo,A,Martinez L.,Inter,34.0,34.0
Ipa Bali,P,Maignan,Milan,16.0,20.0
Ipa Bali,P,Sava,Udinese,4.0,1.0
Ipa Bali,P,Terracciano,Milan,1.0,1.0
Ipa Bali,D,Bianchetti,Cremonese,3.0,6.0
Ipa Bali,D,Doig,Sassuolo,6.0,6.0
Ipa Bali,D,Gallo,Lecce,5.0,8.0
Ipa Bali,D,Luperto,Cagliari,7.0,9.0
Ipa Bali,D,Martin,Genoa,10.0,14.0
Ipa Bali,D,Ostigard,Genoa,5.0,15.0
Ipa Bali,D,Ramon,Como,4.0,12.0
Ipa Bali,C,Bondo,Cremonese,3.0,7.0
Ipa Bali,C,Calhanoglu,Inter,30.0,28.0
Ipa Bali,C,Kaba,Lecce,1.0,3.0
Ipa Bali,C,Maldini,Atalanta,9.0,3.0
Ipa Bali,C,McTominay,Napoli,26.0,25.0
Ipa Bali,C,Paz N.,Como,21.0,30.0
Ipa Bali,C,Pobega,Bologna,5.0,11.0
Ipa Bali,C,Pulisic,Milan,28.0,31.0
Ipa Bali,A,Berardi,Sassuolo,21.0,21.0
Ipa Bali,A,Kean,Fiorentina,33.0,18.0
Ipa Bali,A,Meister,Pisa,3.0,8.0
Ipa Bali,A,Pavoletti,Cagliari,1.0,1.0
Ipa Bali,A,Vlahovic,Juventus,21.0,15.0
KARABE 1975,P,Pessina Mas.,Bologna,1.0,1.0
KARABE 1975,P,Ravaglia F.,Bologna,3.0,12.0
KARABE 1975,P,Skorupski,Bologna,10.0,10.0
KARABE 1975,D,Canestrelli,Pisa,3.0,5.0
KARABE 1975,D,Idrissi R.,Cagliari,3.0,8.0
KARABE 1975,D,Marusic,Lazio,8.0,7.0
KARABE 1975,D,Pavlovic,Milan,7.0,15.0
KARABE 1975,D,Tiago Gabriel,Lecce,1.0,9.0
KARABE 1975,D,Valeri,Parma,10.0,10.0
KARABE 1975,D,Zappacosta,Atalanta,9.0,8.0
KARABE 1975,C,Gineitis,Torino,4.0,4.0
KARABE 1975,C,Gudmundsson A.,Fiorentina,17.0,17.0
KARABE 1975,C,Karlstrom,Udinese,7.0,10.0
KARABE 1975,C,Ndour,Fiorentina,2.0,6.0
KARABE 1975,C,Prati,Cagliari,4.0,6.0
KARABE 1975,C,Pulisic,Milan,28.0,31.0
KARABE 1975,C,Stanciu,Genoa,8.0,1.0
KARABE 1975,C,Zaccagni,Lazio,26.0,14.0
KARABE 1975,A,Colombo,Genoa,6.0,14.0
KARABE 1975,A,Esposito Se.,Cagliari,7.0,16.0
KARABE 1975,A,Kean,Fiorentina,33.0,18.0
KARABE 1975,A,Leao,Milan,26.0,30.0
KARABE 1975,A,Thuram,Inter,31.0,29.0
Kung-Fu Pandev,P,Di Gennaro,Inter,1.0,1.0
Kung-Fu Pandev,P,Martinez Jo.,Inter,2.0,1.0
Kung-Fu Pandev,P,Sommer,Inter,16.0,14.0
Kung-Fu Pandev,D,Angelino,Roma,15.0,7.0
Kung-Fu Pandev,D,Cambiaso,Juventus,15.0,10.0
Kung-Fu Pandev,D,Doig,Sassuolo,6.0,6.0
Kung-Fu Pandev,D,Pezzella Giu.,Cremonese,5.0,4.0
Kung-Fu Pandev,D,Tavares N.,Lazio,12.0,6.0
Kung-Fu Pandev,D,Valenti,Parma,4.0,7.0
Kung-Fu Pandev,D,Veiga D.,Lecce,2.0,5.0
Kung-Fu Pandev,C,Asllani,Torino,4.0,3.0
Kung-Fu Pandev,C,Conceicao,Juventus,18.0,15.0
Kung-Fu Pandev,C,Marchwinski,Lecce,1.0,1.0
Kung-Fu Pandev,C,McKennie,Juventus,6.0,14.0
Kung-Fu Pandev,C,Paz N.,Como,21.0,30.0
Kung-Fu Pandev,C,Politano,Napoli,15.0,11.0
Kung-Fu Pandev,C,Vlasic,Torino,14.0,18.0
Kung-Fu Pandev,C,Zarraga,Udinese,2.0,2.0
Kung-Fu Pandev,A,Benedyczak,Parma,1.0,8.0
Kung-Fu Pandev,A,Hojlund,Napoli,21.0,25.0
Kung-Fu Pandev,A,Kean,Fiorentina,33.0,18.0
Kung-Fu Pandev,A,Pellegrino M.,Parma,13.0,21.0
Kung-Fu Pandev,A,Soulè,Roma,20.0,26.0
LE 4 M,P,Di Gregorio,Juventus,16.0,16.0
LE 4 M,P,Perin,Juventus,1.0,3.0
LE 4 M,P,Sportiello,Atalanta,1.0,1.0
LE 4 M,D,Delprato,Parma,8.0,9.0
LE 4 M,D,Dumfries,Inter,20.0,10.0
LE 4 M,D,Kempf,Como,5.0,14.0
LE 4 M,D,Martin,Genoa,10.0,14.0
LE 4 M,D,Sernicola,Cremonese,1.0,1.0
LE 4 M,D,Solet,Udinese,11.0,11.0
LE 4 M,D,Van der Brempt,Como,4.0,3.0
LE 4 M,C,Basic,Lazio,1.0,14.0
LE 4 M,C,Marchwinski,Lecce,1.0,1.0
LE 4 M,C,Ndour,Fiorentina,2.0,6.0
LE 4 M,C,Paz N.,Como,21.0,30.0
LE 4 M,C,Prati,Cagliari,4.0,6.0
LE 4 M,C,Pulisic,Milan,28.0,31.0
LE 4 M,C,Sucic P.,Inter,14.0,11.0
LE 4 M,C,Zaniolo,Udinese,15.0,20.0
LE 4 M,A,Benedyczak,Parma,1.0,8.0
LE 4 M,A,Buffon L.,Pisa,1.0,1.0
LE 4 M,A,Kean,Fiorentina,33.0,18.0
LE 4 M,A,Leao,Milan,26.0,30.0
LE 4 M,A,Martinez L.,Inter,34.0,34.0
LEONE,P,Contini,Napoli,1.0,1.0
LEONE,P,Meret,Napoli,16.0,8.0
LEONE,P,Milinkovic-Savic V.,Napoli,4.0,19.0
LEONE,D,Bisseck,Inter,5.0,10.0
LEONE,D,Bremer,Juventus,13.0,13.0
LEONE,D,Cambiaso,Juventus,15.0,10.0
LEONE,D,Dodò,Fiorentina,11.0,6.0
LEONE,D,Kempf,Como,5.0,14.0
LEONE,D,Pavlovic,Milan,7.0,15.0
LEONE,D,Wesley,Roma,14.0,16.0
LEONE,C,Adopo,Cagliari,5.0,6.0
LEONE,C,Aebischer,Pisa,4.0,5.0
LEONE,C,Atta,Udinese,8.0,16.0
LEONE,C,Ederson D.S.,Atalanta,9.0,10.0
LEONE,C,Paz N.,Como,21.0,30.0
LEONE,C,Saelemaekers,Milan,12.0,19.0
LEONE,C,Stanciu,Genoa,8.0,1.0
LEONE,C,Tramoni M.,Pisa,12.0,9.0
LEONE,A,Berardi,Sassuolo,21.0,21.0
LEONE,A,Davis K.,Udinese,13.0,24.0
LEONE,A,Kilicsoy,Cagliari,3.0,12.0
LEONE,A,Piccoli,Fiorentina,17.0,9.0
LEONE,A,Simeone,Torino,18.0,19.0
Leonte FC,P,Di Gregorio,Juventus,16.0,16.0
Leonte FC,P,Nava,Cremonese,1.0,1.0
Leonte FC,P,Perin,Juventus,1.0,3.0
Leonte FC,D,Bastoni,Inter,17.0,17.0
Leonte FC,D,Canestrelli,Pisa,3.0,5.0
Leonte FC,D,Di Lorenzo,Napoli,14.0,12.0
Leonte FC,D,Dodò,Fiorentina,11.0,6.0
Leonte FC,D,Esteves T.,Pisa,1.0,1.0
Leonte FC,D,Pavlovic,Milan,7.0,15.0
Leonte FC,D,Valenti,Parma,4.0,7.0
Leonte FC,C,Basic,Lazio,1.0,14.0
Leonte FC,C,Estevez,Parma,2.0,5.0
Leonte FC,C,Folorunsho,Cagliari,9.0,8.0
Leonte FC,C,Kaba,Lecce,1.0,3.0
Leonte FC,C,McTominay,Napoli,26.0,25.0
Leonte FC,C,Ndour,Fiorentina,2.0,6.0
Leonte FC,C,Pulisic,Milan,28.0,31.0
Leonte FC,C,Tourè I.,Pisa,6.0,10.0
Leonte FC,A,Cancellieri,Lazio,10.0,14.0
Leonte FC,A,Leao,Milan,26.0,30.0
Leonte FC,A,Soulè,Roma,20.0,26.0
Leonte FC,A,Stulic,Lecce,8.0,8.0
Leonte FC,A,Thuram,Inter,31.0,29.0
Lions,P,Di Gregorio,Juventus,16.0,16.0
Lions,P,Perin,Juventus,1.0,3.0
Lions,P,Sportiello,Atalanta,1.0,1.0
Lions,D,Bellanova,Atalanta,13.0,6.0
Lions,D,Cambiaso,Juventus,15.0,10.0
Lions,D,Di Lorenzo,Napoli,14.0,12.0
Lions,D,Kristensen T.,Udinese,7.0,7.0
Lions,D,Provstgaard,Lazio,3.0,3.0
Lions,D,Tiago Gabriel,Lecce,1.0,9.0
Lions,D,Van Der Brempt,Como,4.0,3.0
Lions,C,Kaba,Lecce,1.0,3.0
Lions,C,McTominay,Napoli,26.0,25.0
Lions,C,Ndour,Fiorentina,2.0,6.0
Lions,C,Orsolini,Bologna,31.0,24.0
Lions,C,Paz N.,Como,21.0,30.0
Lions,C,Politano,Napoli,15.0,11.0
Lions,C,Prati,Cagliari,4.0,6.0
Lions,C,Pulisic,Milan,28.0,31.0
Lions,A,Almqvist,Parma,4.0,3.0
Lions,A,Cancellieri,Lazio,10.0,14.0
Lions,A,Moro L.,Sassuolo,1.0,1.0
Lions,A,Rodriguez Je.,Como,6.0,12.0
Lions,A,Thuram,Inter,31.0,29.0
Longobarda,P,Maignan,Milan,16.0,20.0
Longobarda,P,Perin,Juventus,1.0,3.0
Longobarda,P,Terracciano,Milan,1.0,1.0
Longobarda,D,Akanji,Inter,9.0,11.0
Longobarda,D,Cambiaso,Juventus,15.0,10.0
Longobarda,D,Dodò,Fiorentina,11.0,6.0
Longobarda,D,Gaspar K.,Lecce,8.0,4.0
Longobarda,D,Pezzella Giu.,Cremonese,5.0,4.0
Longobarda,D,Tiago Gabriel,Lecce,1.0,9.0
Longobarda,D,Vasquez,Genoa,9.0,10.0
Longobarda,A,Almqvist,Parma,4.0,3.0
Longobarda,C,Bondo,Cremonese,3.0,7.0
Longobarda,C,Fofana Y.,Milan,11.0,10.0
Longobarda,C,Harroui,Verona,7.0,2.0
Longobarda,C,Kaba,Lecce,1.0,3.0
Longobarda,C,Konè M.,Roma,14.0,17.0
Longobarda,C,Marin M.,Pisa,4.0,5.0
Longobarda,C,McTominay,Napoli,26.0,25.0
Longobarda,C,Paz N.,Como,21.0,30.0
Longobarda,A,Berardi,Sassuolo,21.0,21.0
Longobarda,A,Dybala,Roma,13.0,13.0
Longobarda,A,Kean,Fiorentina,33.0,18.0
Longobarda,A,Soulè,Roma,20.0,26.0
LosPollosHermanos,P,Maignan,Milan,16.0,20.0
LosPollosHermanos,P,Terracciano,Milan,1.0,1.0
LosPollosHermanos,P,Torriani,Milan,1.0,1.0
LosPollosHermanos,D,Bellanova,Atalanta,13.0,6.0
LosPollosHermanos,D,Delprato,Parma,8.0,9.0
LosPollosHermanos,D,Dumfries,Inter,20.0,10.0
LosPollosHermanos,D,Joao Mario,Juventus,8.0,2.0
LosPollosHermanos,D,Lazaro,Torino,7.0,7.0
LosPollosHermanos,D,Smolcic I.,Como,2.0,3.0
LosPollosHermanos,D,Zanoli,Udinese,3.0,9.0
LosPollosHermanos,C,Atta,Udinese,8.0,16.0
LosPollosHermanos,C,Bernardeschi,Bologna,9.0,5.0
LosPollosHermanos,C,Ekkelenkamp,Udinese,10.0,12.0
LosPollosHermanos,C,El Shaarawy,Roma,8.0,8.0
LosPollosHermanos,C,McKennie,Juventus,6.0,14.0
LosPollosHermanos,C,Orsolini,Bologna,31.0,24.0
LosPollosHermanos,C,Paz N.,Como,21.0,30.0
LosPollosHermanos,C,Vandeputte,Cremonese,12.0,13.0
LosPollosHermanos,A,Benedyczak,Parma,1.0,8.0
LosPollosHermanos,A,Meister,Pisa,3.0,8.0
LosPollosHermanos,A,Pinamonti,Sassuolo,16.0,14.0
LosPollosHermanos,A,Soulè,Roma,20.0,26.0
LosPollosHermanos,A,Thuram,Inter,31.0,29.0
Lunarossa,P,Martinez Jo.,Inter,2.0,1.0
Lunarossa,P,Sommer,Inter,16.0,14.0
Lunarossa,P,Sportiello,Atalanta,1.0,1.0
Lunarossa,D,Lazaro,Torino,7.0,7.0
Lunarossa,D,Mina,Cagliari,7.0,8.0
Lunarossa,D,Tavares N.,Lazio,12.0,6.0
Lunarossa,D,Terracciano F.,Cremonese,2.0,11.0
Lunarossa,D,Tiago Gabriel,Lecce,1.0,9.0
Lunarossa,D,Vojvoda,Como,6.0,12.0
Lunarossa,D,Wesley,Roma,14.0,16.0
