Team,Ruolo,Giocatore,Squadra,PrezzoAcquisto,PrezzoAttuale
BARAKALLAHOUFIK,C,Orsolini,Bologna,31.0,24.0
BARAKALLAHOUFIK,C,Paz N.,Como,21.0,30.0
BARAKALLAHOUFIK,C,Politano,Napoli,15.0,11.0
BARAKALLAHOUFIK,C,Pulisic,Milan,28.0,31.0
BARAKALLAHOUFIK,A,Cutrone,Parma,10.0,6.0
BARAKALLAHOUFIK,A,Kean,Fiorentina,33.0,18.0
BARAKALLAHOUFIK,A,Meister,Pisa,3.0,8.0
BARAKALLAHOUFIK,A,Scamacca,Atalanta,16.0,22.0
BARAKALLAHOUFIK,A,Thuram,Inter,31.0,29.0
BOBONE32,P,De Gea,Fiorentina,14.0,11.0
BOBONE32,P,Lezzerini,Fiorentina,1.0,1.0
BOBONE32,P,Martinelli T.,Fiorentina,1.0,1.0
BOBONE32,D,Cambiaso,Juventus,15.0,10.0
BOBONE32,D,Canestrelli,Pisa,3.0,5.0
BOBONE32,D,Gallo,Lecce,5.0,8.0
BOBONE32,D,Ndiaye,Parma,3.0,1.0
BOBONE32,D,Pavlovic,Milan,7.0,15.0
BOBONE32,D,Ramon,Como,4.0,12.0
BOBONE32,D,Tiago Gabriel,Lecce,1.0,9.0
BOBONE32,C,Aebischer,Pisa,4.0,5.0
BOBONE32,C,Asllani,Torino,4.0,3.0
BOBONE32,C,Barella,Inter,14.0,17.0
BOBONE32,C,Carboni V.,Genoa,11.0,4.0
BOBONE32,C,Folorunsho,Cagliari,9.0,8.0
BOBONE32,C,McTominay,Napoli,26.0,25.0
BOBONE32,C,Paz N.,Como,21.0,30.0
BOBONE32,C,Saelemaekers,Milan,12.0,19.0
BOBONE32,A,Berardi,Sassuolo,21.0,21.0
BOBONE32,A,Bonny,Inter,5.0,14.0
BOBONE32,A,Castellanos,Lazio,21.0,18.0
BOBONE32,A,Davis K.,Udinese,13.0,24.0
BOBONE32,A,Martinez L.,Inter,34.0,34.0
BinuSpuntu,P,Caprile,Cagliari,7.0,12.0
BinuSpuntu,P,Radunovic,Cagliari,1.0,1.0
BinuSpuntu,P,Sommer,Inter,16.0,14.0
BinuSpuntu,D,Cambiaso,Juventus,15.0,10.0
BinuSpuntu,D,Canestrelli,Pisa,3.0,5.0
BinuSpuntu,D,Dumfries,Inter,20.0,10.0
BinuSpuntu,D,Esteves T.,Pisa,1.0,1.0
BinuSpuntu,D,Terracciano F.,Cremonese,2.0,11.0
BinuSpuntu,D,Valeri,Parma,10.0,10.0
BinuSpuntu,D,Van Der Brempt,Como,4.0,3.0
BinuSpuntu,C,Adopo,Cagliari,5.0,6.0
BinuSpuntu,C,Akinsanmiro,Pisa,3.0,7.0
BinuSpuntu,C,Atta,Udinese,8.0,16.0
BinuSpuntu,C,Da Cunha,Como,11.0,11.0
BinuSpuntu,C,Kaba,Lecce,1.0,3.0
BinuSpuntu,C,McTominay,Napoli,26.0,25.0
