name,team,tier
Bonny,Inter,scommessa
McKennie,Juventus,semitop
Mandragora,Fiorentina,semitop
Milinkovic-Savic V.,Napoli,semitop
Zaniolo,Udinese,semitop
Berardi,Sassuolo,semitop
Davis K.,Udinese,semitop
Scamacca,Atalanta,semitop
Wesley,Roma,top
Pavlovic,Milan,semitop
Krstovic,Atalanta,semitop
Zielinski,Inter,semitop
Saelemaekers,Milan,semitop
Orsolini,Bologna,semitop
Vlasic,Torino,semitop
Bastoni,Inter,semitop
Leao,Milan,top
Gudmundsson A.,Fiorentina,semitop
Soulè,Roma,semitop
