Giocatore,Posizione,Squadra,RigoriParati
Carnesecchi,P,Atalanta,2
Falcone,P,Lecce,2
Maignan,P,Milan,2
Milinkovic-Savic V.,P,Napoli,2
Audero,P,Cremonese,1
Butez,P,Como,1
De Gea,P,Fiorentina,1
Montipò,P,Verona,1
Okoye,P,Udinese,1
Provedel,P,Lazio,1
Suzuki,P,Parma,1
