Giocatore,Posizione,Squadra,RigoriSbagliati
Paz N.,C,Como,2
Asllani *,C,Torino,1
Calhanoglu,C,Inter,1
Camarda,A,Lecce,1
Colombo,A,Genoa,1
Cornet,C,Genoa,1
David,A,Juventus,1
Dybala,A,Roma,1
Morata,A,Como,1
Nzola,A,Sassuolo,1
Orsolini,C,Bologna,1
Pinamonti,A,Sassuolo,1
Pulisic,C,Milan,1
Stanciu *,C,Genoa,1
Yildiz,A,Juventus,1
Zapata D.,A,Torino,1
